BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIM_NO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status 
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-04-28,Classic Credit Card,0,1000,3805.75,16144.42,5793.72,2026-04-03,421.44,F,1961-02-13,Elsewedy Capital,Primary,100000,,0.0,63,,,,NORM
4,Mansoura,2024-10-01,5000,A,NEW,New,0,2026-04-26,Cashback Card,500,150,4187.8,320.86,1208.98,2026-04-23,1811.32,F,1982-09-01,Ministry of Health,Primary,100001,,0.0,19,,,,NEW
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-24,Gold Credit Card,0,300,4195.45,10552.43,970.69,2026-04-15,234.81,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-24,Cashback Card,0,300,1127.65,13712.46,3066.43,2026-04-08,294.41,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-16,World Elite Card,0,300,9504.04,5447.96,920.32,2026-04-19,1583.2,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM
9,Ismailia,2022-03-31,10000,I,CLSC,Closed by Customer,0,2026-04-25,Cashback Card,200,1000,2421.91,7359.5,1655.12,2026-04-15,1772.96,M,1965-08-07,Ministry of Health,Primary,100003,2026-04-08,0.0,49,,,,CLSC
10,Suez,2019-12-02,150000,A,NORM,Normal,0,2026-04-21,Platinum Credit Card,200,1000,51199.91,98670.58,31085.27,2026-04-06,1440.86,M,1988-06-25,Elsewedy Capital,Primary,100005,,0.0,78,,,,NORM
1,Cairo Main,2021-07-16,75000,A,NORM,Normal,0,2026-04-22,Titanium Credit Card,100,500,62843.67,11765.37,3840.55,2026-04-02,83.33,F,1996-02-10,Talaat Moustafa Group,Secondary,100006,,0.0,58,VISA-OLD,,,NORM
5,Tanta,2020-10-07,150000,I,CLSB,Closed by Bank,0,2026-04-20,Platinum Credit Card,500,300,70215.99,79524.31,8423.19,2026-04-07,1043.13,M,1966-04-06,Ministry of Health,Secondary,100007,2026-03-15,0.0,67,,VISA-OLD2,,CLSB
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-04-18,Cashback Card,200,300,493.69,4140.04,677.71,2026-04-06,1753.3,M,1971-04-12,CIB,Primary,100009,,0.0,25,,,,NORM
1,Cairo Main,2020-12-14,150000,A,NORM,Normal,0,2026-04-25,World Elite Card,200,1000,85767.66,63797.87,42828.57,2026-04-07,761.06,M,1992-05-22,Orascom,Primary,100010,,0.0,65,,VISA-OLD2,,NORM
9,Ismailia,2024-09-19,50000,A,NORM,Normal,0,2026-04-18,Business Credit Card,200,300,14277.49,35453.26,12396.3,2026-04-26,287.21,M,1960-01-10,Self Employed,Primary,100011,,0.0,19,MC-OLD,,,NORM
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-04-20,Classic Credit Card,100,300,6420.7,3537.95,1226.31,2026-04-16,1698.38,F,1992-10-30,Ministry of Health,Secondary,100012,,0.0,35,MC-OLD,,,NORM
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-05-01,Cashback Card,100,300,2885.97,6688.97,1907.73,2026-04-16,1976.41,F,1992-10-30,Ministry of Health,Secondary,100012,,0.0,35,MC-OLD,,,NORM
5,Tanta,2022-03-10,100000,A,NORM,Normal,0,2026-04-17,World Elite Card,100,0,21577.78,78374.49,27135.09,2026-04-21,953.6,F,1977-11-24,Government,Primary,100013,,0.0,50,MC-OLD,,,NORM
10,Suez,2018-01-30,10000,A,NORM,Normal,0,2026-04-18,Classic Credit Card,200,0,2987.16,6663.86,1527.97,2026-04-09,423.09,M,1969-11-17,Orange Egypt,Primary,100014,,0.0,100,VISA-OLD,,,NORM
9,Ismailia,2024-05-27,200000,A,NORM,Normal,0,2026-04-16,Business Credit Card,500,500,29637.65,170142.56,35406.73,2026-04-13,15.8,M,1965-12-07,Self Employed,Primary,100015,,0.0,23,VISA-OLD,,,NORM
7,Luxor,2023-03-28,5000,A,NORM,Normal,0,2026-04-26,Cashback Card,200,0,3746.14,768.31,499.16,2026-04-14,1079.25,M,1978-06-10,CIB,Primary,100016,,0.0,37,MC-OLD,,,NORM
3,Alexandria,2020-01-22,30000,A,NEW,New,0,2026-04-24,Classic Credit Card,500,1000,20266.0,9696.37,1582.53,2026-04-26,1968.9,M,1978-12-04,Freelancer,Primary,100017,,0.0,76,MC-OLD,,,NEW
2,Giza,2020-08-26,15000,I,CLSC,Closed by Customer,0,2026-04-20,Classic Credit Card,500,0,4647.95,9938.23,2038.05,2026-04-07,1690.08,M,1993-10-20,Amazon Egypt,Primary,100018,2026-03-14,0.0,69,VISA-OLD,,,CLSC
8,Zagazig,2022-09-29,150000,A,NEW,New,0,2026-04-28,Business Credit Card,200,150,109755.79,40049.75,36289.62,2026-04-20,317.06,M,1972-10-17,Self Employed,Primary,100019,,0.0,43,MC-OLD,,,NEW
6,Assiut,2018-07-25,200000,A,NORM,Normal,0,2026-04-25,Business Credit Card,100,0,60524.34,139005.99,9191.51,2026-04-13,1569.85,M,1962-07-25,Self Employed,Secondary,100020,,0.0,94,,VISA-OLD2,,NORM
2,Giza,2020-08-21,75000,A,90DA,90 Days Delinquent,90,2026-04-19,Classic Credit Card,0,500,57950.81,16710.89,2958.99,2026-04-12,244.05,F,1990-04-15,CIB,Secondary,100021,,36099.2,69,,,,90DA
2,Giza,2020-08-21,75000,A,NORM,Normal,0,2026-04-30,Travel Rewards Card,0,500,27745.98,46974.52,19853.71,2026-04-18,1831.66,F,1990-04-15,CIB,Secondary,100021,,0.0,69,,,,NORM
2,Giza,2020-08-21,75000,A,NORM,Normal,0,2026-04-21,Platinum Credit Card,0,500,39168.93,35504.97,13617.29,2026-04-22,148.48,F,1990-04-15,CIB,Secondary,100021,,0.0,69,,,,NORM
4,Mansoura,2022-06-10,15000,A,LOST,Lost,0,2026-04-27,Classic Credit Card,0,500,8863.87,5871.49,2334.15,2026-04-26,141.21,M,1971-11-30,Juhayna,Primary,100022,,0.0,47,,VISA-OLD2,,LOST
9,Ismailia,2019-03-01,15000,A,NORM,Normal,0,2026-04-26,Classic Credit Card,100,300,7669.88,6830.15,1699.71,2026-04-21,969.49,F,1973-06-06,Talaat Moustafa Group,Primary,100024,,0.0,87,,,,NORM
5,Tanta,2023-06-25,30000,A,NORM,Normal,0,2026-04-18,Gold Credit Card,200,0,12604.0,16996.62,6751.8,2026-04-23,1301.86,M,1982-09-02,Orange Egypt,Primary,100025,,0.0,34,,,,NORM
3,Alexandria,2022-12-15,150000,A,NEW,New,0,2026-04-18,World Elite Card,0,150,41746.32,107954.43,29310.36,2026-04-10,1825.83,M,1993-04-01,Amazon Egypt,Secondary,100026,,0.0,41,MC-OLD,VISA-OLD2,,NEW
3,Alexandria,2019-06-07,5000,A,NORM,Normal,0,2026-04-27,Classic Credit Card,200,150,-318.55,4390.81,920.25,2026-04-28,428.51,M,1979-04-12,Juhayna,Primary,100027,,0.0,84,,VISA-OLD2,,NORM
7,Luxor,2019-09-26,20000,A,NORM,Normal,0,2026-05-01,Titanium Credit Card,200,500,9102.66,10590.11,4050.67,2026-04-04,1354.72,M,1987-11-03,Orascom,Primary,100028,,0.0,80,,,,NORM
7,Luxor,2019-09-26,20000,A,LOST,Lost,0,2026-05-01,Classic Credit Card,200,500,16681.25,2938.9,3113.95,2026-04-18,1050.57,M,1987-11-03,Orascom,Primary,100028,,0.0,80,,,,LOST
7,Luxor,2019-09-26,20000,A,NORM,Normal,0,2026-04-26,Gold Credit Card,200,500,16813.26,2956.55,1694.06,2026-04-07,1828.17,M,1987-11-03,Orascom,Primary,100028,,0.0,80,,,,NORM
1,Cairo Main,2023-04-12,20000,A,NORM,Normal,0,2026-05-01,Gold Credit Card,100,150,6405.33,13472.43,5839.19,2026-04-14,1015.19,M,1998-07-07,El Sewedy Electric,Primary,100029,,0.0,37,VISA-OLD,,,NORM
1,Cairo Main,2023-04-12,20000,A,NORM,Normal,0,2026-04-23,Cashback Card,100,150,9725.37,10021.84,1566.43,2026-04-06,418.84,M,1998-07-07,El Sewedy Electric,Primary,100029,,0.0,37,VISA-OLD,,,NORM
5,Tanta,2018-10-12,30000,I,CLSB,Closed by Bank,0,2026-04-16,Gold Credit Card,200,0,1231.42,28712.12,1785.64,2026-04-17,1987.16,M,1998-10-09,IBM Egypt,Secondary,100030,2026-03-08,0.0,91,,,,CLSB
10,Suez,2018-06-06,10000,A,NORM,Normal,0,2026-04-29,Cashback Card,200,500,8071.9,1537.43,670.96,2026-04-28,1367.9,M,1971-11-28,Military,Primary,100031,,0.0,96,MC-OLD,,,NORM
5,Tanta,2022-11-22,5000,A,NORM,Normal,0,2026-04-24,Business Credit Card,100,300,3705.42,1178.11,1337.86,2026-04-08,93.31,F,1961-12-28,Government,Primary,100032,,0.0,41,,VISA-OLD2,,NORM
5,Tanta,2022-11-22,5000,A,NEW,New,0,2026-04-19,Travel Rewards Card,100,300,1962.13,2553.59,494.18,2026-04-06,1025.23,F,1961-12-28,Government,Primary,100032,,0.0,41,,VISA-OLD2,,NEW
5,Tanta,2022-11-22,5000,A,SUSP,Profit Suspended,120,2026-04-16,Cashback Card,100,300,427.03,4295.31,1441.15,2026-04-28,558.55,F,1961-12-28,Government,Primary,100032,,1890.35,41,,VISA-OLD2,,SUSP
6,Assiut,2019-05-26,30000,A,NORM,Normal,0,2026-04-28,Gold Credit Card,200,500,-117.87,29405.3,8016.47,2026-04-27,318.98,F,1989-10-03,Government,Primary,100033,,0.0,84,,,,NORM
7,Luxor,2019-12-14,200000,A,NORM,Normal,0,2026-04-30,World Elite Card,200,300,110014.65,89764.97,23258.91,2026-04-24,262.29,M,1990-05-20,Cairo University,Primary,100034,,0.0,77,MC-OLD,VISA-OLD2,,NORM
6,Assiut,2022-12-15,100000,A,NORM,Normal,0,2026-05-01,World Elite Card,0,300,3957.77,95797.57,3399.8,2026-04-05,616.84,F,1980-11-09,El Sewedy Electric,Primary,100035,,0.0,41,,,,NORM
4,Mansoura,2020-03-26,15000,A,30DD,30 Days Delinquent,30,2026-04-29,Gold Credit Card,0,500,12181.44,2571.59,2450.0,2026-04-28,1066.12,F,1996-03-06,Vodafone Egypt,Secondary,100036,,3175.07,74,MC-OLD,,,30DD
