BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIM_NO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status 
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-02-17,Classic Credit Card,0,1000,3452.71,16375.0,2279.94,2026-02-07,417.38,F,1961-02-13,Elsewedy Capital,Primary,100000,,0.0,61,,,,NORM
4,Mansoura,2024-10-01,5000,I,CNCD,Cancelled,0,2026-02-26,Cashback Card,500,150,3463.57,1268.74,736.33,2026-02-20,1107.49,F,1982-09-01,Ministry of Health,Primary,100001,,0.0,17,,,,CNCD
7,Luxor,2021-02-12,15000,A,SUSP,Profit Suspended,120,2026-02-23,Gold Credit Card,200,300,6326.68,8502.07,4137.07,2026-02-18,278.92,F,1975-04-06,El Sewedy Electric,Secondary,100002,,1108.42,61,VISA-OLD,VISA-OLD2,,SUSP
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-02-17,Cashback Card,200,300,10768.36,3897.99,3617.23,2026-02-28,327.33,F,1975-04-06,El Sewedy Electric,Secondary,100002,,0.0,61,VISA-OLD,VISA-OLD2,,NORM
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-02-22,World Elite Card,200,300,3112.18,11672.28,3921.77,2026-02-01,737.6,F,1975-04-06,El Sewedy Electric,Secondary,100002,,0.0,61,VISA-OLD,VISA-OLD2,,NORM
7,Luxor,2021-02-12,15000,A,SUSP,Profit Suspended,120,2026-02-22,Classic Credit Card,200,300,6183.67,8319.62,4330.06,2026-02-17,1819.17,F,1975-04-06,El Sewedy Electric,Secondary,100002,,3185.34,61,VISA-OLD,VISA-OLD2,,SUSP
2,Giza,2018-11-19,150000,A,NORM,Normal,0,2026-02-17,Platinum Credit Card,0,150,116421.58,33242.1,27611.78,2026-02-18,1954.86,F,1976-12-23,Juhayna,Secondary,100003,,0.0,88,,,,NORM
2,Giza,2018-11-19,150000,A,NORM,Normal,0,2026-02-24,Travel Rewards Card,0,150,54502.67,95350.58,7410.9,2026-02-15,1628.29,F,1976-12-23,Juhayna,Secondary,100003,,0.0,88,,,,NORM
7,Luxor,2023-02-01,50000,A,NEW,New,0,2026-02-20,Platinum Credit Card,0,1000,32178.28,17406.49,6101.94,2026-02-28,276.18,M,1972-06-20,Orascom,Primary,100004,,0.0,37,,,,NEW
8,Zagazig,2021-01-10,150000,A,NORM,Normal,0,2026-02-16,World Elite Card,200,500,50090.93,99844.26,14714.6,2026-02-10,1067.66,F,1977-01-07,Elsewedy Capital,Primary,100005,,0.0,62,MC-OLD,,,NORM
