BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIM_NO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status 
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-04-23,Classic Credit Card,0,1000,6141.65,13789.59,2882.84,2026-04-11,1930.96,F,1961-02-13,Elsewedy Capital,Primary,100000,,0.0,63,,,,NORM
4,Mansoura,2024-10-01,5000,A,NORM,Normal,0,2026-04-17,Cashback Card,500,150,531.06,4413.33,1464.05,2026-04-25,452.06,F,1982-09-01,Ministry of Health,Primary,100001,,0.0,19,,,,NORM
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-27,Gold Credit Card,0,300,4041.75,10526.24,2149.17,2026-04-17,64.05,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-19,Cashback Card,0,300,-1278.96,13265.83,2343.84,2026-04-08,506.13,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-27,World Elite Card,0,300,310.15,14468.74,1324.36,2026-04-18,233.69,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM
9,Ismailia,2022-03-31,10000,A,NORM,Normal,0,2026-04-27,Cashback Card,200,1000,4100.68,5568.22,2527.5,2026-04-20,632.19,M,1965-08-07,Ministry of Health,Primary,100003,,0.0,49,,,,NORM
5,Tanta,2020-08-11,10000,A,NORM,Normal,0,2026-04-18,Cashback Card,200,150,7967.38,1957.78,1002.3,2026-04-05,803.8,F,1963-07-31,Microsoft Egypt,Primary,100004,,0.0,69,,,,NORM
10,Suez,2019-12-02,150000,A,NORM,Normal,0,2026-04-27,Platinum Credit Card,200,1000,13138.25,136558.2,44728.91,2026-04-25,1965.35,M,1988-06-25,Elsewedy Capital,Primary,100005,,0.0,78,,,,NORM
1,Cairo Main,2021-07-16,75000,A,NORM,Normal,0,2026-04-21,Titanium Credit Card,100,500,41001.47,33976.69,14989.66,2026-04-27,1978.11,F,1996-02-10,Talaat Moustafa Group,Secondary,100006,,0.0,58,VISA-OLD,,,NORM
5,Tanta,2020-10-07,150000,A,NORM,Normal,0,2026-04-24,Platinum Credit Card,500,300,20857.17,129061.01,32277.14,2026-04-01,1114.2,M,1966-04-06,Ministry of Health,Secondary,100007,,0.0,67,,VISA-OLD2,,NORM
8,Zagazig,2018-07-12,10000,A,NORM,Normal,0,2026-04-25,Cashback Card,500,1000,4518.95,4986.54,1848.44,2026-04-05,1668.63,M,1964-01-29,Banque Misr,Primary,100008,,0.0,95,MC-OLD,,,NORM
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-04-23,Cashback Card,200,300,2680.57,2124.29,232.7,2026-04-10,846.41,M,1971-04-12,CIB,Primary,100009,,0.0,25,,,,NORM
1,Cairo Main,2020-12-14,150000,A,NORM,Normal,0,2026-04-30,World Elite Card,200,1000,51349.68,98368.82,40204.8,2026-04-28,453.31,M,1992-05-22,Orascom,Primary,100010,,0.0,65,,VISA-OLD2,,NORM
9,Ismailia,2024-09-19,50000,A,NORM,Normal,0,2026-04-22,Business Credit Card,200,300,21104.97,28574.32,777.09,2026-04-01,401.54,M,1960-01-10,Self Employed,Primary,100011,,0.0,19,MC-OLD,,,NORM
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-04-18,Classic Credit Card,100,300,-168.38,9678.92,2316.07,2026-04-25,291.32,F,1992-10-30,Ministry of Health,Secondary,100012,,0.0,35,MC-OLD,,,NORM
