PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Classic Credit Card,100000,2026-04-03,2026-04-02,818,11748.1,0.0,11748.1,5944,Instashop,M287553,POS,11748.1,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-02,2026-04-01,818,554.39,0.0,554.39,5411,Noon Egypt,M859137,POS,554.39,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-25,2026-04-25,818,10411.94,0.0,10411.94,5311,Shell Egypt,M477944,ATM,10411.94,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-30,2026-04-27,818,1218.98,0.0,1218.98,4111,McDonald's,M676304,ECOM,1218.98,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-16,2026-04-13,840,1208.8,14.58,38005.35,5311,Total Energies,M207772,POS,1208.8,840,Giza,SAU,N,1
Classic Credit Card,100000,2026-04-07,2026-04-07,818,8769.75,0.0,8769.75,5691,Booking.com,M790263,POS,8769.75,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-20,2026-04-17,818,7986.1,0.0,7986.1,5812,Zara Egypt,M139710,POS,7986.1,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-11,2026-04-09,818,8867.21,0.0,8867.21,7298,Shell Egypt,M508528,ECOM,8867.21,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-21,2026-04-21,818,13057.28,0.0,13057.28,8021,McDonald's,M434385,MOTO,13057.28,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-03,2026-04-03,818,3713.88,0.0,3713.88,8099,Uber Egypt,M572837,POS,3713.88,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-22,2026-04-21,818,1932.41,0.0,1932.41,4111,2B,M152660,ECOM,1932.41,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-07,2026-04-04,840,945.09,10.63,39784.78,5732,McDonald's,M551499,POS,945.09,840,Giza,SAU,N,1
Classic Credit Card,100000,2026-04-18,2026-04-17,818,6504.6,0.0,6504.6,7230,LG Electronics,M563013,POS,6504.6,818,Giza,EGY,Y,1
Classic Credit Card,100000,2026-04-15,2026-04-15,818,774.01,0.0,774.01,5812,Virgin Megastore,M232101,POS,774.01,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-23,2026-04-21,978,1235.29,18.83,77898.78,5732,Zara Egypt,M272701,ECOM,1235.29,840,Giza,FRA,N,1
Classic Credit Card,100000,2026-04-08,2026-04-07,818,6820.8,0.0,6820.8,7298,Shell Egypt,M910056,POS,6820.8,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-12,2026-04-12,818,12451.97,0.0,12451.97,8099,H&M Egypt,M690157,POS,12451.97,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-30,2026-04-29,818,11187.31,0.0,11187.31,5311,Shell Egypt,M883116,POS,11187.31,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-20,2026-04-17,818,2540.82,0.0,2540.82,5541,Amazon.eg,M294181,POS,2540.82,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-18,2026-04-15,818,3785.24,0.0,3785.24,5814,Expedia,M744895,ECOM,3785.24,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-04-09,2026-04-08,818,14582.77,0.0,14582.77,5814,Instashop,M624530,POS,14582.77,818,Giza,EGY,N,1
Cashback Card,100001,2026-04-14,2026-04-13,818,6838.69,0.0,6838.69,5999,McDonald's,M653673,POS,6838.69,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-04-19,2026-04-19,818,11045.74,0.0,11045.74,5944,Samsung Egypt,M246617,MOTO,11045.74,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-04-16,2026-04-15,818,13809.33,0.0,13809.33,7011,Expedia,M826521,ECOM,13809.33,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-04-09,2026-04-07,818,222.49,0.0,222.49,4900,Breadfast,M252754,MOTO,222.49,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-04-05,2026-04-03,818,9923.73,0.0,9923.73,4900,Breadfast,M825961,POS,9923.73,818,Mansoura,EGY,N,2
World Elite Card,100002,2026-04-05,2026-04-03,818,7598.8,0.0,7598.8,5945,H&M Egypt,M934788,MOTO,7598.8,818,Luxor,EGY,N,3
Cashback Card,100002,2026-04-05,2026-04-03,818,12044.03,0.0,12044.03,5814,Amazon.eg,M676622,POS,12044.03,818,Luxor,EGY,N,3
Gold Credit Card,100002,2026-04-29,2026-04-29,826,818.56,18.17,56706.72,5732,Vodafone Cash,M923766,ATM,818.56,840,Luxor,USA,N,3
Cashback Card,100002,2026-04-27,2026-04-24,978,1844.39,40.38,71225.2,5732,ElMenus,M875774,POS,1844.39,840,Luxor,USA,N,3
World Elite Card,100002,2026-04-05,2026-04-04,818,1646.9,0.0,1646.9,8099,B.TECH,M311250,ECOM,1646.9,818,Luxor,EGY,Y,3
Cashback Card,100002,2026-04-25,2026-04-22,818,1811.82,0.0,1811.82,5311,Apple Store Online,M310150,POS,1811.82,818,Luxor,EGY,N,3
World Elite Card,100002,2026-04-06,2026-04-06,818,6797.74,0.0,6797.74,5814,Starbucks Egypt,M585042,ATM,6797.74,818,Luxor,EGY,N,3
Cashback Card,100002,2026-04-30,2026-04-29,818,2086.64,0.0,2086.64,4111,ElMenus,M179877,POS,2086.64,818,Luxor,EGY,N,3
Gold Credit Card,100002,2026-04-13,2026-04-12,818,12121.85,0.0,12121.85,5311,ElMenus,M756295,ATM,12121.85,818,Luxor,EGY,N,3
Cashback Card,100002,2026-04-09,2026-04-08,818,5972.61,0.0,5972.61,5999,LG Electronics,M859339,POS,5972.61,818,Luxor,EGY,N,3
Cashback Card,100003,2026-04-27,2026-04-25,818,8357.19,0.0,8357.19,5944,Breadfast,M743253,POS,8357.19,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-05-01,2026-04-28,818,3558.48,0.0,3558.48,7230,Breadfast,M525170,POS,3558.48,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-08,2026-04-08,818,10622.62,0.0,10622.62,5812,Seoudi Market,M477957,POS,10622.62,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-15,2026-04-13,818,11777.64,0.0,11777.64,5651,Virgin Megastore,M166494,ATM,11777.64,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-30,2026-04-29,818,10157.9,0.0,10157.9,5732,Instashop,M365819,POS,10157.9,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-12,2026-04-11,818,4585.4,0.0,4585.4,8099,Jumia Egypt,M949980,ECOM,4585.4,818,Ismailia,EGY,Y,4
Cashback Card,100003,2026-04-03,2026-04-02,818,696.08,0.0,696.08,5944,KFC Egypt,M187194,ATM,696.08,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-13,2026-04-10,818,8966.62,0.0,8966.62,5912,Jumia Egypt,M607180,POS,8966.62,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-30,2026-04-29,818,5641.48,0.0,5641.48,4111,Uber Egypt,M808252,ECOM,5641.48,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-27,2026-04-24,818,11975.24,0.0,11975.24,8011,B.TECH,M466468,ECOM,11975.24,818,Ismailia,EGY,Y,4
Cashback Card,100003,2026-04-29,2026-04-26,818,112.51,0.0,112.51,7230,Jumia Egypt,M689679,ECOM,112.51,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-11,2026-04-08,840,781.02,16.6,36714.46,5732,H&M Egypt,M405453,MOTO,781.02,840,Ismailia,TUR,N,4
Cashback Card,100003,2026-04-16,2026-04-15,818,2821.79,0.0,2821.79,8099,Expedia,M356913,ECOM,2821.79,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-16,2026-04-14,978,871.88,22.74,31117.14,5411,2B,M395350,POS,871.88,840,Ismailia,FRA,N,4
Cashback Card,100003,2026-04-04,2026-04-04,818,14573.02,0.0,14573.02,4900,2B,M870307,ECOM,14573.02,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-08,2026-04-08,818,4163.36,0.0,4163.36,8099,Emirates Airlines,M792277,ATM,4163.36,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-28,2026-04-28,818,2193.86,0.0,2193.86,5814,Amazon.eg,M722319,POS,2193.86,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-17,2026-04-16,818,1787.22,0.0,1787.22,4900,Uber Egypt,M496215,POS,1787.22,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-16,2026-04-14,818,14864.29,0.0,14864.29,5912,Instashop,M760656,ATM,14864.29,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-04,2026-04-04,818,5556.85,0.0,5556.85,5944,Samsung Egypt,M350861,POS,5556.85,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-13,2026-04-11,818,14928.29,0.0,14928.29,5411,Noon Egypt,M573133,POS,14928.29,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-15,2026-04-13,818,1065.54,0.0,1065.54,5311,Zara Egypt,M649586,POS,1065.54,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-04-15,2026-04-14,818,2213.27,0.0,2213.27,5732,B.TECH,M187372,POS,2213.27,818,Ismailia,EGY,N,4
