PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Business Credit Card,100136,2026-05-26,2026-05-25,818,3031.95,0.0,3031.95,4111,2B,M713877,ECOM,3031.95,818,Assiut,EGY,N,
Business Credit Card,100136,2026-05-14,2026-05-13,818,11743.32,0.0,11743.32,8011,Noon Egypt,M871807,MOTO,11743.32,818,Assiut,EGY,N,
Business Credit Card,100136,2026-05-12,2026-05-12,818,10399.5,0.0,10399.5,5411,Spinneys,M831546,POS,10399.5,818,Assiut,EGY,N,
Business Credit Card,100136,2026-05-27,2026-05-24,818,9416.71,0.0,9416.71,5814,Uber Egypt,M735649,POS,9416.71,818,Assiut,EGY,N,
Business Credit Card,100136,2026-05-23,2026-05-22,818,11006.03,0.0,11006.03,5912,Apple Store Online,M324701,ECOM,11006.03,818,Assiut,EGY,Y,
Business Credit Card,100136,2026-05-11,2026-05-08,840,1063.15,16.43,42605.83,5999,Shell Egypt,M363977,POS,1063.15,840,Assiut,GBR,N,
Business Credit Card,100136,2026-05-21,2026-05-21,818,14441.38,0.0,14441.38,5691,iStyle,M466919,ECOM,14441.38,818,Assiut,EGY,N,
Gold Credit Card,100205,2026-05-27,2026-05-27,840,76.81,2.19,2714.28,7011,Apple Store Online,M100307,MOTO,76.81,840,Zagazig,SAU,N,
Gold Credit Card,100205,2026-05-08,2026-05-05,818,7104.0,0.0,7104.0,4900,H&M Egypt,M270054,ECOM,7104.0,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-14,2026-05-14,818,10941.45,0.0,10941.45,8011,LG Electronics,M658965,POS,10941.45,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-07,2026-05-05,818,13479.57,0.0,13479.57,5311,Starbucks Egypt,M901921,POS,13479.57,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-14,2026-05-11,818,7136.14,0.0,7136.14,4111,H&M Egypt,M928942,POS,7136.14,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-19,2026-05-18,818,7151.84,0.0,7151.84,7230,KFC Egypt,M361948,ECOM,7151.84,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-16,2026-05-13,818,3695.67,0.0,3695.67,5945,Shell Egypt,M664350,ECOM,3695.67,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-20,2026-05-20,840,1822.63,29.79,73606.34,5912,2B,M370561,ATM,1822.63,840,Zagazig,SAU,N,
Gold Credit Card,100205,2026-05-12,2026-05-09,818,6687.14,0.0,6687.14,5411,Emirates Airlines,M507637,ECOM,6687.14,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-20,2026-05-19,818,11334.68,0.0,11334.68,5945,LG Electronics,M762024,POS,11334.68,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-24,2026-05-21,818,1487.61,0.0,1487.61,8021,Total Energies,M868997,POS,1487.61,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-06-02,2026-05-30,818,8423.65,0.0,8423.65,5691,Zara Egypt,M723299,ECOM,8423.65,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-11,2026-05-08,818,14785.22,0.0,14785.22,5691,Instashop,M474981,POS,14785.22,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-22,2026-05-21,978,1497.91,26.96,62599.54,5814,Instashop,M823443,ECOM,1497.91,840,Zagazig,USA,N,
Gold Credit Card,100205,2026-05-27,2026-05-27,818,2890.33,0.0,2890.33,8021,Amazon.eg,M987776,ECOM,2890.33,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-29,2026-05-28,818,7654.55,0.0,7654.55,5411,Costa Coffee,M966420,POS,7654.55,818,Zagazig,EGY,N,
Gold Credit Card,100205,2026-05-05,2026-05-02,818,13333.45,0.0,13333.45,5691,LG Electronics,M684121,POS,13333.45,818,Zagazig,EGY,N,
Platinum Credit Card,101004,2026-05-07,2026-05-06,818,7297.84,0.0,7297.84,4111,Shell Egypt,M412088,ECOM,7297.84,818,Cairo Main,EGY,N,
Platinum Credit Card,101004,2026-05-23,2026-05-20,818,6366.46,0.0,6366.46,8099,McDonald's,M450110,ECOM,6366.46,818,Cairo Main,EGY,N,
Platinum Credit Card,101004,2026-05-29,2026-05-27,818,12385.81,0.0,12385.81,5912,Instashop,M930386,ECOM,12385.81,818,Cairo Main,EGY,N,
Platinum Credit Card,101004,2026-05-17,2026-05-15,818,7869.61,0.0,7869.61,5411,Virgin Megastore,M814598,ECOM,7869.61,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-31,2026-05-30,818,12317.84,0.0,12317.84,5411,Talabat,M489319,POS,12317.84,818,Cairo Main,EGY,Y,
Business Credit Card,101006,2026-05-09,2026-05-09,818,8510.93,0.0,8510.93,5912,Starbucks Egypt,M314009,ECOM,8510.93,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-15,2026-05-15,818,5294.69,0.0,5294.69,5732,Vodafone Cash,M666219,ECOM,5294.69,818,Cairo Main,EGY,Y,
Cashback Card,101006,2026-05-02,2026-05-01,978,78.12,2.22,4456.45,5311,Zara Egypt,M103513,ECOM,78.12,840,Cairo Main,DEU,N,
Cashback Card,101006,2026-05-04,2026-05-01,818,13399.24,0.0,13399.24,5691,Costa Coffee,M253480,POS,13399.24,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-13,2026-05-11,840,1430.31,42.51,57423.37,4900,Amazon.eg,M307664,ECOM,1430.31,840,Cairo Main,GBR,Y,
Business Credit Card,101006,2026-05-15,2026-05-14,818,287.8,0.0,287.8,5944,Booking.com,M925326,POS,287.8,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-23,2026-05-20,818,6583.16,0.0,6583.16,5411,Zara Egypt,M519118,MOTO,6583.16,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-02,2026-05-02,818,3947.73,0.0,3947.73,5999,Instashop,M377614,POS,3947.73,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-06-01,2026-05-30,818,9799.43,0.0,9799.43,5411,Spinneys,M627525,ECOM,9799.43,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-06,2026-05-04,818,14180.29,0.0,14180.29,5944,Noon Egypt,M538576,POS,14180.29,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-31,2026-05-30,818,3367.44,0.0,3367.44,7230,Jumia Egypt,M129303,ECOM,3367.44,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-14,2026-05-11,818,9334.48,0.0,9334.48,4900,Carrefour Egypt,M102328,POS,9334.48,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-25,2026-05-23,818,6262.37,0.0,6262.37,7230,Starbucks Egypt,M260208,POS,6262.37,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-12,2026-05-12,818,9313.55,0.0,9313.55,5732,Amazon.eg,M828075,POS,9313.55,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-17,2026-05-14,818,13900.9,0.0,13900.9,7230,Emirates Airlines,M865170,POS,13900.9,818,Cairo Main,EGY,Y,
Cashback Card,101006,2026-05-08,2026-05-07,818,8713.39,0.0,8713.39,5814,H&M Egypt,M513517,ECOM,8713.39,818,Cairo Main,EGY,N,
Business Credit Card,101006,2026-05-29,2026-05-29,818,8114.06,0.0,8114.06,5691,LG Electronics,M451855,ECOM,8114.06,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-10,2026-05-07,818,13282.52,0.0,13282.52,7011,iStyle,M536057,POS,13282.52,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-29,2026-05-29,818,8677.45,0.0,8677.45,5691,Seoudi Market,M157946,MOTO,8677.45,818,Cairo Main,EGY,N,
Cashback Card,101006,2026-05-19,2026-05-16,818,8773.81,0.0,8773.81,5912,McDonald's,M369200,ECOM,8773.81,818,Cairo Main,EGY,N,
Platinum Credit Card,101007,2026-05-04,2026-05-04,818,992.26,0.0,992.26,5732,Virgin Megastore,M139691,POS,992.26,818,Assiut,EGY,N,
Platinum Credit Card,101007,2026-05-11,2026-05-08,818,1801.04,0.0,1801.04,5814,Booking.com,M486261,ECOM,1801.04,818,Assiut,EGY,N,
Platinum Credit Card,101007,2026-06-02,2026-05-30,818,4970.59,0.0,4970.59,5311,Samsung Egypt,M814793,POS,4970.59,818,Assiut,EGY,N,
Platinum Credit Card,101007,2026-05-14,2026-05-12,818,6438.7,0.0,6438.7,5732,Virgin Megastore,M378205,ECOM,6438.7,818,Assiut,EGY,N,
Platinum Credit Card,101007,2026-05-06,2026-05-04,826,190.73,3.69,7874.19,7011,Booking.com,M488497,ECOM,190.73,840,Assiut,DEU,N,
Platinum Credit Card,101007,2026-05-31,2026-05-30,818,13301.41,0.0,13301.41,5814,Total Energies,M225286,ECOM,13301.41,818,Assiut,EGY,N,
Platinum Credit Card,101007,2026-05-10,2026-05-09,818,8992.97,0.0,8992.97,4900,Seoudi Market,M782647,ECOM,8992.97,818,Assiut,EGY,N,
Business Credit Card,101010,2026-05-21,2026-05-21,818,2873.46,0.0,2873.46,5945,iStyle,M414180,POS,2873.46,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-21,2026-05-18,818,2421.12,0.0,2421.12,5651,Booking.com,M624888,ECOM,2421.12,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-14,2026-05-13,818,9989.8,0.0,9989.8,5999,Jumia Egypt,M736703,POS,9989.8,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-16,2026-05-15,818,3867.27,0.0,3867.27,5541,Zara Egypt,M927767,ECOM,3867.27,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-11,2026-05-10,818,13761.88,0.0,13761.88,5912,Expedia,M787586,POS,13761.88,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-01,2026-05-01,818,14882.46,0.0,14882.46,4111,Noon Egypt,M304532,ECOM,14882.46,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-03,2026-05-03,826,500.83,10.53,29484.49,5411,Amazon.eg,M913865,ECOM,500.83,840,Tanta,USA,N,
Business Credit Card,101010,2026-05-17,2026-05-16,818,10198.08,0.0,10198.08,7230,Starbucks Egypt,M238513,POS,10198.08,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-21,2026-05-18,818,12542.76,0.0,12542.76,5999,LG Electronics,M654708,ECOM,12542.76,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-13,2026-05-10,818,7955.32,0.0,7955.32,5691,Costa Coffee,M504292,POS,7955.32,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-21,2026-05-21,818,3581.19,0.0,3581.19,5691,Samsung Egypt,M227976,POS,3581.19,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-27,2026-05-24,818,7967.24,0.0,7967.24,4900,Starbucks Egypt,M998754,ECOM,7967.24,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-06,2026-05-05,818,902.21,0.0,902.21,5732,Jumia Egypt,M791203,POS,902.21,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-31,2026-05-29,978,248.29,4.28,14671.55,5411,Expedia,M181760,MOTO,248.29,840,Tanta,FRA,N,
Business Credit Card,101010,2026-05-08,2026-05-07,826,782.86,19.42,32695.9,7230,Booking.com,M174165,MOTO,782.86,840,Tanta,TUR,N,
Business Credit Card,101010,2026-05-05,2026-05-05,818,8620.98,0.0,8620.98,5541,Carrefour Egypt,M690779,ECOM,8620.98,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-13,2026-05-10,818,3149.08,0.0,3149.08,7298,Samsung Egypt,M657863,POS,3149.08,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-15,2026-05-12,818,5985.21,0.0,5985.21,8011,2B,M164405,ECOM,5985.21,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-21,2026-05-20,818,2997.09,0.0,2997.09,5812,Total Energies,M210440,ECOM,2997.09,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-16,2026-05-14,818,3267.17,0.0,3267.17,5541,Zara Egypt,M378962,POS,3267.17,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-04,2026-05-03,818,5710.18,0.0,5710.18,7298,Vodafone Cash,M634306,ECOM,5710.18,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-05,2026-05-05,818,407.18,0.0,407.18,7298,KFC Egypt,M129919,ECOM,407.18,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-18,2026-05-17,818,14362.79,0.0,14362.79,5541,ElMenus,M633667,POS,14362.79,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-24,2026-05-21,818,3265.35,0.0,3265.35,7011,Amazon.eg,M132813,POS,3265.35,818,Tanta,EGY,N,
Business Credit Card,101010,2026-05-19,2026-05-18,818,9669.68,0.0,9669.68,5912,Noon Egypt,M544425,ECOM,9669.68,818,Tanta,EGY,N,
Business Credit Card,101016,2026-05-05,2026-05-02,818,1251.16,0.0,1251.16,7298,ElMenus,M704919,POS,1251.16,818,Luxor,EGY,N,
