BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,NEW,New,0,2026-03-30,Gold Credit Card,0,1000,2789.81,17101.68,3736.25,2026-03-13,1004.5,F,1961-02-13,Orange Egypt,Primary,100000,,0.0,62,,,,NEW,1
9,Ismailia,2018-04-19,150000,A,60DA,60 Days Delinquent,60,2026-03-27,Travel Rewards Card,100,500,136217.97,13380.02,6777.17,2026-03-22,1946.85,F,1987-01-02,Vodafone Egypt,Primary,100001,,51234.16,96,,,,60DA,2
6,Assiut,2019-09-29,20000,A,NORM,Normal,0,2026-03-26,Cashback Card,500,0,7726.45,11887.37,4528.92,2026-03-18,1358.57,F,1972-06-18,IBM Egypt,Primary,100002,,0.0,79,,,,NORM,3
6,Assiut,2019-09-29,20000,A,NORM,Normal,0,2026-03-21,Classic Credit Card,500,0,7942.9,11570.9,4657.81,2026-03-04,1733.68,F,1972-06-18,IBM Egypt,Primary,100002,,0.0,79,,,,NORM,3
6,Assiut,2019-09-29,20000,A,NORM,Normal,0,2026-03-28,Travel Rewards Card,500,0,14112.14,5737.61,3136.07,2026-03-14,390.84,F,1972-06-18,IBM Egypt,Primary,100002,,0.0,79,,,,NORM,3
2,Giza,2021-02-12,100000,A,NORM,Normal,0,2026-03-27,Cashback Card,100,300,2259.29,97291.19,29099.92,2026-03-10,1107.08,F,1977-01-18,El Sewedy Electric,Primary,100004,,0.0,62,,,,NORM,5
3,Alexandria,2020-09-29,15000,A,NORM,Normal,0,2026-03-27,World Elite Card,100,300,14012.25,861.87,1644.86,2026-03-14,1021.57,M,1983-12-17,Elsewedy Capital,Secondary,100005,,0.0,67,,,,NORM,6
5,Tanta,2020-05-14,200000,A,NORM,Normal,0,2026-03-20,Cashback Card,500,500,-18505.78,181363.22,23802.61,2026-03-18,1830.16,F,1962-12-20,Banque Misr,Primary,100006,,0.0,71,,,,NORM,7
5,Tanta,2020-05-14,200000,A,90DA,90 Days Delinquent,90,2026-03-18,Gold Credit Card,500,500,91778.15,107951.68,17953.68,2026-03-09,158.06,F,1962-12-20,Banque Misr,Primary,100006,,116399.33,71,,,,90DA,7
9,Ismailia,2024-07-22,75000,A,60DA,60 Days Delinquent,60,2026-03-26,Travel Rewards Card,100,150,-3120.27,71643.41,15390.32,2026-03-05,1433.57,F,1971-10-14,National Bank of Egypt,Primary,100007,,9738.52,20,,,,60DA,8
9,Ismailia,2024-07-22,75000,A,NORM,Normal,0,2026-03-28,Platinum Credit Card,100,150,20842.73,54062.48,8356.9,2026-03-07,792.26,F,1971-10-14,National Bank of Egypt,Primary,100007,,0.0,20,,,,NORM,8
3,Alexandria,2022-09-26,200000,A,NORM,Normal,0,2026-03-30,Travel Rewards Card,500,1000,117516.35,82243.27,17732.06,2026-03-03,513.85,F,1995-07-13,Ministry of Health,Secondary,100008,,0.0,42,,,,NORM,9
6,Assiut,2021-06-13,20000,A,NORM,Normal,0,2026-03-17,Gold Credit Card,0,500,3695.64,16201.99,414.77,2026-03-06,193.37,M,1999-06-01,Ministry of Health,Primary,100011,,0.0,58,,,,NORM,12
9,Ismailia,2020-12-21,150000,A,NORM,Normal,0,2026-03-24,Travel Rewards Card,100,300,119078.69,30807.92,36840.95,2026-03-03,1570.98,F,1967-05-29,IBM Egypt,Primary,100012,,0.0,64,,,,NORM,13
2,Giza,2020-07-09,10000,A,NORM,Normal,0,2026-03-17,Titanium Credit Card,100,0,1163.23,8520.18,678.86,2026-03-22,728.59,M,1971-02-13,Orange Egypt,Primary,100013,,0.0,69,,,,NORM,14
2,Giza,2020-09-01,30000,A,90DA,90 Days Delinquent,90,2026-03-30,Titanium Credit Card,100,1000,19082.0,10511.14,5642.09,2026-03-08,1675.74,F,1983-01-23,Elsewedy Capital,Primary,100014,,13046.47,67,,,,90DA,15
2,Giza,2022-11-01,50000,A,NORM,Normal,0,2026-03-28,Business Credit Card,0,0,16182.22,33343.76,14939.63,2026-03-06,231.21,M,1964-05-07,Microsoft Egypt,Primary,100015,,0.0,41,,,,NORM,16
4,Mansoura,2024-01-06,100000,A,30DD,30 Days Delinquent,30,2026-03-25,Platinum Credit Card,200,500,6111.87,93584.63,13113.15,2026-03-02,1029.94,M,1968-07-13,National Bank of Egypt,Primary,100016,,13432.35,27,,,,30DD,17
