BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
3,Alexandria,2020-09-29,15000,A,LOST,Lost,0,2026-01-23,World Elite Card,100,300,3219.29,11347.08,1120.6,2026-01-23,1251.84,M,1983-12-17,Elsewedy Capital,Secondary,100005,,0.0,65,,,,LOST,6
4,Mansoura,2024-01-06,100000,I,CNCD,Cancelled,0,2026-01-24,Platinum Credit Card,200,500,51542.01,48428.33,1683.44,2026-01-21,1075.79,M,1968-07-13,National Bank of Egypt,Primary,100016,,0.0,25,,,,CNCD,17
5,Tanta,2023-06-25,30000,A,FRAD,Fraud,0,2026-01-18,Business Credit Card,500,300,20685.08,8931.36,3878.52,2026-01-23,902.58,M,1982-09-02,Vodafone Egypt,Primary,100024,,0.0,31,,,,FRAD,25
5,Tanta,2023-06-25,30000,I,CLSB,Closed by Bank,0,2026-01-22,Cashback Card,500,300,20276.5,9398.28,657.23,2026-01-11,908.09,M,1982-09-02,Vodafone Egypt,Primary,100024,2025-12-14,0.0,31,,,,CLSB,25
3,Alexandria,2022-12-15,150000,A,SUSP,Profit Suspended,120,2026-01-22,Business Credit Card,0,150,-12027.72,137859.67,11648.38,2026-01-24,1064.73,M,1993-04-01,IBM Egypt,Primary,100025,,38729.89,38,,,,SUSP,26
1,Cairo Main,2023-04-12,20000,I,CLSB,Closed by Bank,0,2026-01-18,Business Credit Card,200,300,17832.12,2106.32,5688.08,2026-01-31,1735.07,M,1998-07-07,Elsewedy Capital,Primary,100028,2025-12-09,0.0,34,,,,CLSB,29
10,Suez,2022-07-22,150000,I,CLSB,Closed by Bank,0,2026-01-20,World Elite Card,100,500,32359.37,117140.78,3800.32,2026-01-11,1751.88,F,1973-07-01,Freelancer,Primary,100033,2026-01-31,0.0,43,,,,CLSB,34
10,Suez,2022-07-22,150000,A,LOST,Lost,0,2026-01-25,Platinum Credit Card,100,500,28267.79,121408.53,14547.19,2026-01-27,354.72,F,1973-07-01,Freelancer,Primary,100033,,0.0,43,,,,LOST,34
1,Cairo Main,2019-03-13,75000,I,CLSC,Closed by Customer,0,2026-01-21,Business Credit Card,0,1000,54441.35,20543.66,4591.73,2026-01-19,1817.96,M,1993-09-07,CIB,Primary,100036,2026-01-16,0.0,83,,,,CLSC,37
7,Luxor,2020-03-23,10000,I,CLSB,Closed by Bank,0,2026-01-24,Titanium Credit Card,0,300,9193.19,603.98,2978.1,2026-01-17,1091.76,M,1977-10-16,Cairo University,Primary,100046,2026-01-25,0.0,71,,,,CLSB,47
3,Alexandria,2019-12-23,150000,I,CLSB,Closed by Bank,0,2026-01-22,World Elite Card,500,500,106591.23,43180.61,4342.65,2026-01-04,1526.54,F,1979-07-15,Cairo University,Primary,100048,2026-01-16,0.0,74,,,,CLSB,49
5,Tanta,2023-01-21,20000,I,CLSD,Closed,0,2026-02-01,Platinum Credit Card,0,500,18969.44,933.12,5040.08,2026-01-24,397.35,F,1999-07-19,Orascom,Primary,100049,2025-12-16,0.0,36,,,,CLSD,50
4,Mansoura,2023-06-07,30000,A,LOST,Lost,0,2026-01-23,World Elite Card,100,300,10356.5,19542.4,440.21,2026-01-19,779.54,M,1969-09-15,IBM Egypt,Primary,100053,,0.0,32,,,,LOST,54
6,Assiut,2018-07-30,30000,A,LOST,Lost,0,2026-01-28,Travel Rewards Card,500,500,1423.87,28375.41,6533.81,2026-01-13,411.66,M,1968-04-08,Cairo University,Primary,100055,,0.0,91,,,,LOST,56
4,Mansoura,2018-11-29,15000,I,CLSB,Closed by Bank,0,2026-01-20,Gold Credit Card,100,0,10379.44,4260.56,3938.56,2026-01-30,1675.95,F,1971-11-14,Freelancer,Primary,100058,2026-01-16,0.0,87,,,,CLSB,59
5,Tanta,2019-08-06,10000,I,CLSB,Closed by Bank,0,2026-01-29,World Elite Card,200,500,4192.58,5456.62,1297.43,2026-01-30,1730.33,M,1997-01-29,Freelancer,Primary,100060,2026-01-15,0.0,79,,,,CLSB,61
9,Ismailia,2023-07-16,100000,A,WROF,Write Off,180,2026-01-24,Classic Credit Card,500,300,66906.48,32641.15,9864.89,2026-01-10,1966.17,F,1984-03-22,Vodafone Egypt,Primary,100061,2026-01-27,38595.79,31,,,,WROF,62
9,Ismailia,2023-02-06,10000,I,CLSB,Closed by Bank,0,2026-01-29,Cashback Card,0,500,6009.35,3969.6,323.39,2026-01-05,1151.25,M,1961-08-24,Ministry of Health,Primary,100064,2026-01-25,0.0,36,,,,CLSB,65
9,Ismailia,2024-12-25,100000,A,LOST,Lost,0,2026-01-19,Classic Credit Card,100,300,15054.5,84655.44,21279.16,2026-01-12,1630.57,M,1976-03-24,Juhayna,Primary,100065,,0.0,13,,,,LOST,66
2,Giza,2019-09-23,100000,I,CLSD,Closed,0,2026-01-18,World Elite Card,200,500,374.44,99165.23,24056.86,2026-01-08,1698.86,F,1989-01-20,Self Employed,Primary,100067,2026-01-16,0.0,77,,,,CLSD,68
7,Luxor,2024-09-21,150000,I,CLSB,Closed by Bank,0,2026-01-27,Platinum Credit Card,0,300,87105.19,62524.46,33899.36,2026-01-07,1689.44,F,1968-07-19,Edita Food Industries,Secondary,100068,2025-12-09,0.0,16,,,,CLSB,69
3,Alexandria,2018-06-01,15000,A,LOST,Lost,0,2026-01-23,Cashback Card,0,500,3583.47,11360.79,2618.31,2026-01-02,1513.54,M,1982-03-21,Government,Secondary,100071,,0.0,93,,,,LOST,72
5,Tanta,2018-02-08,100000,I,CNCD,Cancelled,0,2026-01-28,Platinum Credit Card,200,1000,15761.93,84125.15,19436.85,2026-01-25,24.84,F,1989-11-29,Amazon Egypt,Primary,100076,,0.0,97,,,,CNCD,77
5,Tanta,2018-02-08,100000,I,CLSB,Closed by Bank,0,2026-01-24,Titanium Credit Card,200,1000,50994.04,48692.33,26658.12,2026-01-19,1413.49,F,1989-11-29,Amazon Egypt,Primary,100076,2026-01-09,0.0,97,,,,CLSB,77
10,Suez,2023-07-28,30000,I,CLSC,Closed by Customer,0,2026-01-25,World Elite Card,200,150,28043.38,1602.44,4818.24,2026-01-28,1440.21,M,1993-06-04,Military,Primary,100078,2025-12-18,0.0,30,,,,CLSC,79
7,Luxor,2022-03-02,10000,I,CLSD,Closed,0,2026-01-23,Business Credit Card,0,1000,9355.17,537.23,1356.34,2026-01-14,661.07,F,1996-11-21,Military,Primary,100082,2025-12-27,0.0,47,,,,CLSD,83
7,Luxor,2022-02-28,150000,I,CNCD,Cancelled,0,2026-01-30,Platinum Credit Card,500,0,-6657.08,142965.69,26435.15,2026-01-07,1227.7,F,1980-05-07,Military,Primary,100084,,0.0,47,,,,CNCD,85
6,Assiut,2022-12-22,100000,A,LOST,Lost,0,2026-01-22,Business Credit Card,200,1000,30682.37,69113.84,20892.45,2026-01-27,365.98,F,1969-09-29,Orange Egypt,Primary,100085,,0.0,37,,,,LOST,86
10,Suez,2020-08-12,50000,A,LOST,Lost,0,2026-01-21,Classic Credit Card,100,150,22778.85,27218.82,5771.3,2026-01-31,1718.72,F,1969-09-08,Orascom,Primary,100087,,0.0,66,,,,LOST,88
10,Suez,2020-08-12,50000,A,LOST,Lost,0,2026-01-21,Platinum Credit Card,100,150,4895.31,44794.25,2726.8,2026-01-25,193.93,F,1969-09-08,Orascom,Primary,100087,,0.0,66,,,,LOST,88
5,Tanta,2024-07-25,150000,I,CLSD,Closed,0,2026-01-25,World Elite Card,200,500,90321.05,59646.22,11080.0,2026-01-27,1920.77,F,1988-01-02,CIB,Primary,100091,2026-01-01,0.0,18,,,,CLSD,92
3,Alexandria,2023-04-27,10000,I,CLSC,Closed by Customer,0,2026-01-30,Gold Credit Card,0,500,6430.19,3150.28,296.34,2026-01-15,1327.03,M,1990-10-22,IBM Egypt,Secondary,100093,2026-01-12,0.0,33,,,,CLSC,94
10,Suez,2024-04-19,50000,I,CLSC,Closed by Customer,0,2026-01-26,Travel Rewards Card,200,500,24557.33,25091.57,7825.09,2026-01-07,565.12,M,1985-03-11,Juhayna,Primary,100094,2026-01-24,0.0,21,,,,CLSC,95
6,Assiut,2018-02-01,100000,A,LOST,Lost,0,2026-01-17,Platinum Credit Card,500,1000,83697.39,15946.4,2188.9,2026-01-25,413.47,M,1965-05-19,Government,Primary,100101,,0.0,97,,,,LOST,102
1,Cairo Main,2019-02-28,50000,A,SUSP,Profit Suspended,120,2026-01-21,World Elite Card,100,0,4685.11,44933.62,3626.28,2026-01-12,876.22,M,1980-03-17,Freelancer,Secondary,100109,,24289.07,84,,,,SUSP,110
