BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
6,Assiut,2019-09-29,20000,I,CLSB,Closed by Bank,0,2026-04-29,Classic Credit Card,500,0,8372.53,11470.11,3266.66,2026-04-28,1066.12,F,1972-06-18,IBM Egypt,Primary,100002,2026-03-23,0.0,80,,,,CLSB,3
6,Assiut,2019-09-29,20000,A,WROF,Write Off,180,2026-04-27,Travel Rewards Card,500,0,-1492.31,18398.37,698.09,2026-04-19,1730.99,F,1972-06-18,IBM Egypt,Primary,100002,2026-04-21,10355.91,80,,,,WROF,3
9,Ismailia,2022-03-31,10000,I,CLSC,Closed by Customer,0,2026-04-20,Cashback Card,100,0,-60.98,9494.92,308.77,2026-04-12,450.49,M,1965-08-07,Elsewedy Capital,Primary,100003,2026-03-03,0.0,49,,,,CLSC,4
3,Alexandria,2022-09-26,200000,I,CLSC,Closed by Customer,0,2026-04-28,Travel Rewards Card,500,1000,53674.47,146205.04,12408.56,2026-04-30,1909.44,F,1995-07-13,Ministry of Health,Secondary,100008,2026-03-17,0.0,43,,,,CLSC,9
4,Mansoura,2024-01-06,100000,A,SUSP,Profit Suspended,120,2026-04-20,Platinum Credit Card,200,500,13640.64,86231.52,29561.76,2026-04-03,1021.74,M,1968-07-13,National Bank of Egypt,Primary,100016,,38170.94,28,,,,SUSP,17
1,Cairo Main,2024-01-24,5000,I,CNCD,Cancelled,0,2026-04-19,Business Credit Card,500,500,52.09,4686.76,1396.98,2026-04-30,1488.26,M,1989-04-02,Microsoft Egypt,Secondary,100017,,0.0,27,,,,CNCD,18
1,Cairo Main,2020-12-22,100000,I,CLSB,Closed by Bank,0,2026-04-21,Business Credit Card,100,150,1769.57,97987.13,10471.79,2026-04-16,239.97,F,1977-07-06,El Sewedy Electric,Secondary,100018,2026-03-15,0.0,65,,,,CLSB,19
5,Tanta,2023-06-25,30000,I,CLSC,Closed by Customer,0,2026-04-22,Cashback Card,500,300,26471.61,3059.56,3034.04,2026-04-28,726.66,M,1982-09-02,Vodafone Egypt,Primary,100024,2026-04-08,0.0,34,,,,CLSC,25
1,Cairo Main,2023-04-12,20000,I,CLSC,Closed by Customer,0,2026-04-29,Business Credit Card,200,300,2245.23,17425.56,1129.25,2026-04-07,900.21,M,1998-07-07,Elsewedy Capital,Primary,100028,2026-04-20,0.0,37,,,,CLSC,29
6,Assiut,2018-10-12,30000,A,FRAD,Fraud,0,2026-04-29,Travel Rewards Card,200,0,14198.67,15347.59,3117.85,2026-04-01,983.57,M,1972-06-30,Talaat Moustafa Group,Primary,100029,,0.0,91,,,,FRAD,30
9,Ismailia,2024-01-15,20000,I,CLSB,Closed by Bank,0,2026-04-26,Gold Credit Card,200,1000,13600.79,6089.99,5422.83,2026-04-30,1602.71,F,1996-03-05,CIB,Primary,100031,2026-04-04,0.0,27,,,,CLSB,32
1,Cairo Main,2023-05-01,200000,I,CLSC,Closed by Customer,0,2026-04-28,Titanium Credit Card,500,1000,164932.31,34778.21,10237.91,2026-04-17,16.57,M,1970-12-25,Microsoft Egypt,Primary,100035,2026-03-29,0.0,36,,,,CLSC,36
6,Assiut,2018-07-30,30000,I,CLSD,Closed,0,2026-04-21,Business Credit Card,500,500,3110.82,26563.23,7005.96,2026-04-14,1184.91,M,1968-04-08,Cairo University,Primary,100055,2026-04-06,0.0,94,,,,CLSD,56
3,Alexandria,2024-04-24,30000,I,CLSC,Closed by Customer,0,2026-04-23,Titanium Credit Card,0,1000,-2692.13,27043.11,425.16,2026-04-09,1794.13,F,1996-05-20,Military,Primary,100056,2026-03-30,0.0,24,,,,CLSC,57
1,Cairo Main,2021-03-26,30000,A,SUSP,Profit Suspended,120,2026-04-17,Business Credit Card,100,300,10615.25,19151.11,3397.8,2026-04-01,435.06,M,1970-05-20,Amazon Egypt,Primary,100059,,5090.3,62,,,,SUSP,60
1,Cairo Main,2021-03-26,30000,A,WROF,Write Off,180,2026-04-29,Classic Credit Card,100,300,23286.71,6674.19,6205.93,2026-04-14,379.97,M,1970-05-20,Amazon Egypt,Primary,100059,2026-03-04,10369.55,62,,,,WROF,60
9,Ismailia,2023-02-06,10000,I,CNCD,Cancelled,0,2026-04-16,Cashback Card,0,500,4827.32,5124.8,2633.37,2026-04-01,1297.95,M,1961-08-24,Ministry of Health,Primary,100064,,0.0,39,,,,CNCD,65
9,Ismailia,2024-12-25,100000,I,CLSC,Closed by Customer,0,2026-04-28,Classic Credit Card,100,300,6943.34,92812.97,20867.71,2026-04-13,1116.53,M,1976-03-24,Juhayna,Primary,100065,2026-04-08,0.0,16,,,,CLSC,66
7,Luxor,2019-09-25,10000,A,SUSP,Profit Suspended,120,2026-04-20,World Elite Card,200,1000,7265.05,2411.83,821.68,2026-04-12,499.86,F,1999-01-25,National Bank of Egypt,Secondary,100072,,3342.91,80,,,,SUSP,73
10,Suez,2020-01-08,15000,A,SUSP,Profit Suspended,120,2026-04-19,Travel Rewards Card,100,500,9084.45,5521.51,1040.4,2026-04-29,996.6,M,1990-08-01,Elsewedy Capital,Primary,100075,,6895.8,76,,,,SUSP,76
5,Tanta,2018-02-08,100000,I,CNCD,Cancelled,0,2026-04-18,Titanium Credit Card,200,1000,80717.15,19264.28,16855.24,2026-04-06,256.32,F,1989-11-29,Amazon Egypt,Primary,100076,,0.0,100,,,,CNCD,77
10,Suez,2023-07-28,30000,I,CNCD,Cancelled,0,2026-04-27,Titanium Credit Card,200,150,10410.45,19554.44,8340.01,2026-04-05,1595.52,M,1993-06-04,Military,Primary,100078,,0.0,33,,,,CNCD,79
8,Zagazig,2020-05-18,200000,I,CLSB,Closed by Bank,0,2026-04-17,Platinum Credit Card,100,150,-16812.26,182981.14,51192.98,2026-04-11,1835.88,M,1964-02-10,National Bank of Egypt,Secondary,100086,2026-05-01,0.0,72,,,,CLSB,87
10,Suez,2020-08-12,50000,I,CLSB,Closed by Bank,0,2026-04-25,Classic Credit Card,100,150,39518.04,10108.81,3104.67,2026-04-05,1356.83,F,1969-09-08,Orascom,Primary,100087,2026-04-16,0.0,69,,,,CLSB,88
1,Cairo Main,2020-09-01,200000,I,CLSC,Closed by Customer,0,2026-04-20,Platinum Credit Card,200,0,-6148.56,193381.2,22408.81,2026-04-19,638.69,M,1976-01-26,Amazon Egypt,Primary,100088,2026-04-12,0.0,68,,,,CLSC,89
5,Tanta,2024-07-25,150000,I,CLSD,Closed,0,2026-04-29,World Elite Card,200,500,115417.56,34378.43,43820.29,2026-04-09,1319.98,F,1988-01-02,CIB,Primary,100091,2026-04-19,0.0,21,,,,CLSD,92
4,Mansoura,2023-01-24,20000,I,CNCD,Cancelled,0,2026-04-22,Business Credit Card,500,500,7250.61,12546.45,4827.04,2026-04-25,583.74,M,1979-04-17,Edita Food Industries,Primary,100092,,0.0,39,,,,CNCD,93
7,Luxor,2024-04-16,200000,A,SUSP,Profit Suspended,120,2026-04-26,Classic Credit Card,200,0,35200.02,164407.33,11432.27,2026-04-06,835.84,M,1997-11-29,Talaat Moustafa Group,Primary,100096,,46448.41,24,,,,SUSP,97
8,Zagazig,2021-06-17,5000,I,CLSD,Closed,0,2026-04-19,Classic Credit Card,0,150,2263.82,2606.13,157.95,2026-04-05,241.88,F,1983-08-21,El Sewedy Electric,Primary,100100,2026-03-26,0.0,59,,,,CLSD,101
6,Assiut,2018-02-01,100000,I,CLSC,Closed by Customer,0,2026-04-25,Platinum Credit Card,500,1000,80990.78,18702.99,25978.32,2026-04-25,1758.35,M,1965-05-19,Government,Primary,100101,2026-03-24,0.0,100,,,,CLSC,102
7,Luxor,2018-06-23,75000,I,CLSB,Closed by Bank,0,2026-05-01,Gold Credit Card,200,1000,17978.93,56605.37,13649.82,2026-04-11,1839.39,F,1998-08-28,Cairo University,Primary,100102,2026-04-01,0.0,95,,,,CLSB,103
1,Cairo Main,2019-02-28,50000,I,CLSD,Closed,0,2026-04-23,World Elite Card,100,0,22736.9,27074.57,8820.08,2026-04-18,1911.92,M,1980-03-17,Freelancer,Secondary,100109,2026-04-16,0.0,87,,,,CLSD,110
6,Assiut,2023-06-15,20000,A,WROF,Write Off,180,2026-04-24,Platinum Credit Card,100,0,1425.3,18337.07,2738.24,2026-04-28,1221.9,F,1994-05-14,CIB,Primary,100113,2026-03-03,10905.55,35,,,,WROF,114
5,Tanta,2023-05-23,50000,A,WROF,Write Off,180,2026-04-19,Gold Credit Card,0,300,37759.8,12194.2,11665.6,2026-04-28,362.59,M,1962-05-04,Orascom,Primary,100117,2026-04-05,29481.49,35,,,,WROF,118
6,Assiut,2018-10-04,50000,A,SUSP,Profit Suspended,120,2026-05-01,Gold Credit Card,200,150,25934.11,23654.48,12877.38,2026-04-20,577.67,M,1995-05-16,IBM Egypt,Primary,100124,,10982.84,92,,,,SUSP,125
5,Tanta,2022-06-20,150000,I,CLSC,Closed by Customer,0,2026-04-22,Classic Credit Card,100,300,14632.64,134974.54,14226.16,2026-04-05,29.16,F,1983-02-13,Orange Egypt,Secondary,100126,2026-04-14,0.0,47,,,,CLSC,127
2,Giza,2022-02-16,75000,I,CLSC,Closed by Customer,0,2026-04-23,Business Credit Card,200,150,2172.94,72670.43,10263.87,2026-04-14,1390.38,F,1995-11-09,Self Employed,Primary,100127,2026-04-22,0.0,51,,,,CLSC,128
2,Giza,2022-10-05,10000,A,WROF,Write Off,180,2026-04-24,Platinum Credit Card,200,300,6646.41,2932.63,592.04,2026-04-23,478.05,M,1992-08-12,National Bank of Egypt,Primary,100128,2026-04-10,4585.19,43,,,,WROF,129
6,Assiut,2024-05-12,5000,I,CLSB,Closed by Bank,0,2026-04-22,Business Credit Card,200,300,4298.15,316.19,79.57,2026-04-17,130.66,F,1977-03-04,National Bank of Egypt,Primary,100131,2026-04-18,0.0,23,,,,CLSB,132
7,Luxor,2021-02-15,20000,I,CLSC,Closed by Customer,0,2026-04-30,Gold Credit Card,500,1000,3910.3,15715.82,764.85,2026-04-09,440.76,F,1974-02-06,Ministry of Health,Primary,100132,2026-03-14,0.0,63,,,,CLSC,133
7,Luxor,2022-08-05,200000,I,CNCD,Cancelled,0,2026-04-16,Cashback Card,0,500,120353.78,79434.8,44876.71,2026-04-30,1387.13,F,1994-07-02,Government,Primary,100136,,0.0,45,,,,CNCD,137
7,Luxor,2018-05-05,100000,A,SUSP,Profit Suspended,120,2026-04-24,Cashback Card,200,500,26621.71,73082.36,13188.87,2026-04-20,1581.35,M,1987-09-23,Microsoft Egypt,Primary,100140,,13502.23,97,,,,SUSP,141
9,Ismailia,2019-03-11,50000,I,CLSB,Closed by Bank,0,2026-05-01,Gold Credit Card,200,500,1704.9,48286.89,4806.26,2026-04-09,122.36,M,1985-03-12,Banque Misr,Primary,100142,2026-04-21,0.0,86,,,,CLSB,143
10,Suez,2020-10-13,15000,A,SUSP,Profit Suspended,120,2026-04-16,Cashback Card,100,500,10018.67,4875.98,4203.4,2026-04-29,1120.4,F,1978-10-03,Self Employed,Secondary,100143,,5387.42,67,,,,SUSP,144
1,Cairo Main,2018-11-20,50000,I,CNCD,Cancelled,0,2026-04-23,Titanium Credit Card,100,150,5928.25,44061.32,5983.51,2026-04-22,960.02,F,1972-11-25,Ministry of Health,Primary,100155,,0.0,90,,,,CNCD,156
3,Alexandria,2024-03-04,15000,A,SUSP,Profit Suspended,120,2026-05-01,Business Credit Card,500,150,-1294.77,13466.4,2583.71,2026-04-28,241.59,F,1960-03-25,Edita Food Industries,Primary,100157,,5901.33,26,,,,SUSP,158
5,Tanta,2020-08-22,100000,I,CLSB,Closed by Bank,0,2026-04-30,Cashback Card,0,300,13226.67,86728.04,4750.14,2026-04-12,118.83,F,1977-03-16,Elsewedy Capital,Primary,100162,2026-03-31,0.0,69,,,,CLSB,163
10,Suez,2018-09-10,150000,A,WROF,Write Off,180,2026-04-30,World Elite Card,100,150,115993.73,33646.27,29488.6,2026-04-16,1469.7,F,1965-01-12,Government,Primary,100165,2026-03-13,65514.14,93,,,,WROF,166
8,Zagazig,2023-09-22,100000,I,CLSC,Closed by Customer,0,2026-04-16,Gold Credit Card,500,500,23621.0,76084.46,21837.44,2026-04-22,1863.33,M,1964-01-29,Ministry of Health,Primary,100166,2026-04-26,0.0,31,,,,CLSC,167
7,Luxor,2018-01-13,20000,I,CLSB,Closed by Bank,0,2026-04-25,Classic Credit Card,500,300,-1564.68,18143.77,3707.94,2026-04-11,1484.57,M,1971-06-01,Ministry of Health,Secondary,100167,2026-03-02,0.0,101,,,,CLSB,168
5,Tanta,2019-08-10,150000,A,WROF,Write Off,180,2026-04-24,World Elite Card,200,0,64845.76,85109.37,7887.53,2026-04-18,1370.31,M,1999-04-22,Amazon Egypt,Primary,100173,2026-03-07,72234.93,81,,,,WROF,174
4,Mansoura,2019-08-15,100000,I,CNCD,Cancelled,0,2026-04-18,Travel Rewards Card,100,500,75437.5,24067.98,390.35,2026-04-02,1761.09,M,1973-06-28,Talaat Moustafa Group,Primary,100175,,0.0,81,,,,CNCD,176
4,Mansoura,2019-08-15,100000,I,CNCD,Cancelled,0,2026-04-29,World Elite Card,100,500,61548.93,38061.65,27677.77,2026-04-26,199.85,M,1973-06-28,Talaat Moustafa Group,Primary,100175,,0.0,81,,,,CNCD,176
8,Zagazig,2021-09-25,30000,I,CLSB,Closed by Bank,0,2026-04-20,Classic Credit Card,0,500,24470.42,5029.96,8102.71,2026-04-23,257.39,M,1969-05-15,Military,Primary,100177,2026-04-10,0.0,55,,,,CLSB,178
8,Zagazig,2023-07-03,100000,I,CLSB,Closed by Bank,0,2026-04-24,Cashback Card,100,150,57208.32,42546.02,14471.56,2026-04-06,1361.03,F,1992-06-15,Orascom,Secondary,100181,2026-03-26,0.0,34,,,,CLSB,182
5,Tanta,2023-08-20,75000,A,FRAD,Fraud,0,2026-04-24,Platinum Credit Card,0,1000,185.68,74509.36,8549.53,2026-04-09,281.67,M,1960-10-07,Elsewedy Capital,Primary,100184,,0.0,32,,,,FRAD,185
9,Ismailia,2022-04-22,15000,I,CLSC,Closed by Customer,0,2026-04-23,Gold Credit Card,200,0,13713.79,1161.8,2192.59,2026-04-21,188.19,M,1974-11-18,Amazon Egypt,Primary,100189,2026-04-04,0.0,49,,,,CLSC,190
