PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Gold Credit Card,100124,2026-02-20,2026-02-17,818,4077.83,0.0,4077.83,5944,Carrefour Egypt,M406169,ECOM,4077.83,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-15,2026-02-12,978,1373.61,40.99,53605.77,5814,Carrefour Egypt,M554407,MOTO,1373.61,840,Assiut,FRA,N,
Gold Credit Card,100124,2026-02-23,2026-02-23,818,7670.66,0.0,7670.66,5411,Zara Egypt,M801099,POS,7670.66,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-05,2026-02-04,840,1772.28,37.75,65413.05,4111,LG Electronics,M116370,POS,1772.28,840,Assiut,SAU,N,
Gold Credit Card,100124,2026-02-13,2026-02-10,818,12569.43,0.0,12569.43,5812,Expedia,M881791,POS,12569.43,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-12,2026-02-09,818,9023.82,0.0,9023.82,4900,B.TECH,M594071,POS,9023.82,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-26,2026-02-25,818,8996.21,0.0,8996.21,5945,Virgin Megastore,M252030,POS,8996.21,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-14,2026-02-14,818,11423.23,0.0,11423.23,5691,Shell Egypt,M987905,POS,11423.23,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-27,2026-02-26,826,363.33,5.34,13318.08,5732,H&M Egypt,M615197,ATM,363.33,840,Assiut,GBR,N,
Gold Credit Card,100124,2026-02-08,2026-02-06,818,2942.06,0.0,2942.06,7298,KFC Egypt,M443094,POS,2942.06,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-02,2026-02-01,818,13020.91,0.0,13020.91,5411,Starbucks Egypt,M601407,ECOM,13020.91,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-08,2026-02-07,818,11964.32,0.0,11964.32,5411,Amazon.eg,M156644,POS,11964.32,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-25,2026-02-25,818,6147.79,0.0,6147.79,5651,2B,M862723,ECOM,6147.79,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-06,2026-02-05,818,5300.07,0.0,5300.07,7298,Instashop,M661438,ECOM,5300.07,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-11,2026-02-10,818,1769.41,0.0,1769.41,5945,Carrefour Egypt,M966113,POS,1769.41,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-02-22,2026-02-19,818,10140.24,0.0,10140.24,5541,KFC Egypt,M122559,ATM,10140.24,818,Assiut,EGY,N,
Cashback Card,100143,2026-02-06,2026-02-04,818,4106.0,0.0,4106.0,4900,Starbucks Egypt,M830144,ECOM,4106.0,818,Suez,EGY,N,
Cashback Card,100143,2026-02-16,2026-02-13,978,1722.06,46.22,116152.55,8011,Vodafone Cash,M348068,ATM,1722.06,840,Suez,TUR,Y,
Cashback Card,100143,2026-02-22,2026-02-21,826,1474.03,21.6,85017.52,5651,Seoudi Market,M909037,ECOM,1474.03,840,Suez,SAU,N,
Cashback Card,100143,2026-02-12,2026-02-12,978,814.83,22.94,44114.36,5732,Seoudi Market,M561359,POS,814.83,840,Suez,ARE,N,
Cashback Card,100143,2026-03-01,2026-02-27,818,8174.18,0.0,8174.18,8021,Vodafone Cash,M267817,POS,8174.18,818,Suez,EGY,N,
Platinum Credit Card,100222,2026-02-07,2026-02-04,818,7235.48,0.0,7235.48,4111,Carrefour Egypt,M949508,POS,7235.48,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-03-01,2026-02-26,818,13334.63,0.0,13334.63,5999,iStyle,M111044,POS,13334.63,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-14,2026-02-13,818,8966.63,0.0,8966.63,5411,Apple Store Online,M612757,POS,8966.63,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-14,2026-02-13,818,3187.59,0.0,3187.59,5945,Carrefour Egypt,M536817,MOTO,3187.59,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-12,2026-02-10,818,8776.88,0.0,8776.88,5945,ElMenus,M821075,ECOM,8776.88,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-18,2026-02-17,818,8682.52,0.0,8682.52,8099,Booking.com,M515652,POS,8682.52,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-27,2026-02-25,818,8155.65,0.0,8155.65,5912,Breadfast,M635706,POS,8155.65,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-13,2026-02-13,818,5572.07,0.0,5572.07,5732,Vodafone Cash,M245656,POS,5572.07,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-12,2026-02-10,818,10399.87,0.0,10399.87,5732,Apple Store Online,M104466,ECOM,10399.87,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-10,2026-02-10,818,13960.91,0.0,13960.91,5311,H&M Egypt,M884486,POS,13960.91,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-24,2026-02-24,818,10291.44,0.0,10291.44,5912,Samsung Egypt,M707873,ECOM,10291.44,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-24,2026-02-22,818,774.1,0.0,774.1,5912,Noon Egypt,M119874,ECOM,774.1,818,Assiut,EGY,Y,
Platinum Credit Card,100222,2026-02-28,2026-02-25,818,2402.28,0.0,2402.28,5999,iStyle,M379866,POS,2402.28,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-18,2026-02-17,818,13548.55,0.0,13548.55,5541,Vodafone Cash,M184150,POS,13548.55,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-07,2026-02-07,818,14464.48,0.0,14464.48,5912,Total Energies,M252320,POS,14464.48,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-07,2026-02-07,840,1202.08,35.09,54366.92,8011,H&M Egypt,M824711,MOTO,1202.08,840,Assiut,USA,N,
Platinum Credit Card,100222,2026-02-03,2026-02-02,818,6196.71,0.0,6196.71,5411,Starbucks Egypt,M580997,ATM,6196.71,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-02-08,2026-02-06,840,370.51,6.85,16717.42,5411,Instashop,M384844,MOTO,370.51,840,Assiut,GBR,N,
World Elite Card,100263,2026-02-21,2026-02-19,818,14624.67,0.0,14624.67,4111,Samsung Egypt,M432815,POS,14624.67,818,Giza,EGY,N,
World Elite Card,100263,2026-02-26,2026-02-26,840,1383.34,34.89,53124.61,4111,Carrefour Egypt,M230786,ECOM,1383.34,840,Giza,SAU,N,
World Elite Card,100263,2026-02-07,2026-02-06,818,7996.52,0.0,7996.52,5999,Jumia Egypt,M410563,POS,7996.52,818,Giza,EGY,N,
World Elite Card,100263,2026-02-08,2026-02-06,978,322.03,5.54,17058.65,8099,Starbucks Egypt,M747088,ECOM,322.03,840,Giza,TUR,N,
World Elite Card,100263,2026-02-20,2026-02-20,840,1047.05,27.32,45645.3,5912,Emirates Airlines,M859870,MOTO,1047.05,840,Giza,USA,N,
World Elite Card,100263,2026-02-27,2026-02-25,826,1924.3,41.6,74131.96,5651,Jumia Egypt,M400913,POS,1924.3,840,Giza,USA,N,
World Elite Card,100263,2026-02-17,2026-02-14,978,248.58,3.96,15855.56,7298,Amazon.eg,M125400,ECOM,248.58,840,Giza,GBR,N,
World Elite Card,100263,2026-02-21,2026-02-20,818,14289.4,0.0,14289.4,5541,Booking.com,M867435,POS,14289.4,818,Giza,EGY,N,
World Elite Card,100263,2026-02-03,2026-02-01,818,13698.35,0.0,13698.35,5944,Noon Egypt,M327372,POS,13698.35,818,Giza,EGY,N,
World Elite Card,100263,2026-02-26,2026-02-25,978,1227.25,35.27,60427.75,4900,iStyle,M900517,POS,1227.25,840,Giza,USA,N,
World Elite Card,100263,2026-02-11,2026-02-11,818,6286.21,0.0,6286.21,7230,McDonald's,M510192,POS,6286.21,818,Giza,EGY,N,
World Elite Card,100263,2026-02-18,2026-02-17,818,10338.11,0.0,10338.11,5945,2B,M209908,ECOM,10338.11,818,Giza,EGY,N,
Business Credit Card,100442,2026-02-09,2026-02-09,818,11619.2,0.0,11619.2,5691,H&M Egypt,M671655,POS,11619.2,818,Assiut,EGY,N,
Business Credit Card,100442,2026-02-04,2026-02-01,818,7245.74,0.0,7245.74,7230,iStyle,M400546,ECOM,7245.74,818,Assiut,EGY,N,
