PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Gold Credit Card,100000,2026-03-28,2026-03-27,818,7042.6,0.0,7042.6,5812,Booking.com,M834348,ECOM,7042.6,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-29,2026-03-29,818,11940.3,0.0,11940.3,5812,Carrefour Egypt,M147479,ECOM,11940.3,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-03,2026-03-02,818,2075.8,0.0,2075.8,8021,Spinneys,M430343,POS,2075.8,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-31,2026-03-30,818,12701.81,0.0,12701.81,4111,iStyle,M214383,POS,12701.81,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-13,2026-03-13,818,14551.3,0.0,14551.3,5814,Jumia Egypt,M570164,POS,14551.3,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-27,2026-03-26,818,4197.95,0.0,4197.95,5541,Instashop,M181226,ECOM,4197.95,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-15,2026-03-15,840,1180.37,21.65,60018.39,4111,Apple Store Online,M662926,MOTO,1180.37,840,Giza,TUR,N,1
Gold Credit Card,100000,2026-03-29,2026-03-26,840,1258.0,27.42,39852.5,8011,ElMenus,M293510,POS,1258.0,840,Giza,GBR,N,1
Gold Credit Card,100000,2026-03-12,2026-03-11,826,623.31,7.5,41591.04,5945,Seoudi Market,M393859,POS,623.31,840,Giza,DEU,N,1
Gold Credit Card,100000,2026-03-04,2026-03-01,818,4141.26,0.0,4141.26,8011,ElMenus,M851198,POS,4141.26,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-24,2026-03-22,818,4091.86,0.0,4091.86,7298,Carrefour Egypt,M429500,ATM,4091.86,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-24,2026-03-22,818,1005.17,0.0,1005.17,5812,Vodafone Cash,M553444,POS,1005.17,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-15,2026-03-14,818,7952.81,0.0,7952.81,5411,Uber Egypt,M402929,POS,7952.81,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-30,2026-03-30,818,3404.43,0.0,3404.43,5812,iStyle,M356650,POS,3404.43,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-18,2026-03-17,818,10763.21,0.0,10763.21,5999,Booking.com,M244831,ECOM,10763.21,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-03-04,2026-03-01,818,10556.26,0.0,10556.26,8011,Expedia,M791136,ATM,10556.26,818,Giza,EGY,N,1
Travel Rewards Card,100001,2026-03-18,2026-03-18,818,6236.39,0.0,6236.39,7230,Amazon.eg,M684559,POS,6236.39,818,Ismailia,EGY,N,2
Cashback Card,100002,2026-03-20,2026-03-18,818,1654.09,0.0,1654.09,7011,Zara Egypt,M849857,MOTO,1654.09,818,Assiut,EGY,N,3
Travel Rewards Card,100002,2026-03-30,2026-03-27,818,11478.66,0.0,11478.66,5732,B.TECH,M309082,POS,11478.66,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-15,2026-03-13,818,5412.3,0.0,5412.3,8011,2B,M134679,POS,5412.3,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-26,2026-03-23,818,3803.43,0.0,3803.43,5541,H&M Egypt,M749741,POS,3803.43,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-20,2026-03-17,818,13404.7,0.0,13404.7,5541,Carrefour Egypt,M166092,ECOM,13404.7,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-20,2026-03-19,818,5841.88,0.0,5841.88,5944,Vodafone Cash,M549202,ECOM,5841.88,818,Assiut,EGY,N,3
Travel Rewards Card,100002,2026-03-07,2026-03-05,840,109.75,1.6,5674.0,8011,Jumia Egypt,M636116,MOTO,109.75,840,Assiut,DEU,N,3
Travel Rewards Card,100002,2026-03-15,2026-03-12,818,3735.47,0.0,3735.47,5732,KFC Egypt,M615758,ECOM,3735.47,818,Assiut,EGY,N,3
Classic Credit Card,100002,2026-03-18,2026-03-17,818,7238.03,0.0,7238.03,4900,Expedia,M717202,POS,7238.03,818,Assiut,EGY,N,3
Classic Credit Card,100002,2026-03-04,2026-03-04,818,14489.63,0.0,14489.63,5411,2B,M807941,MOTO,14489.63,818,Assiut,EGY,N,3
Classic Credit Card,100002,2026-03-15,2026-03-12,978,1299.38,38.6,48641.89,7230,McDonald's,M828247,POS,1299.38,840,Assiut,DEU,N,3
Cashback Card,100002,2026-03-31,2026-03-29,818,725.77,0.0,725.77,5541,Emirates Airlines,M540598,ATM,725.77,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-19,2026-03-19,826,790.16,18.62,28014.52,5732,Jumia Egypt,M892169,POS,790.16,840,Assiut,FRA,N,3
Travel Rewards Card,100002,2026-03-23,2026-03-22,818,4195.83,0.0,4195.83,5912,B.TECH,M729131,MOTO,4195.83,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-25,2026-03-24,818,4847.96,0.0,4847.96,5311,Vodafone Cash,M685233,POS,4847.96,818,Assiut,EGY,N,3
Cashback Card,100002,2026-03-05,2026-03-05,840,1701.27,50.84,65183.56,5812,B.TECH,M876041,ECOM,1701.27,840,Assiut,FRA,N,3
Travel Rewards Card,100002,2026-03-08,2026-03-08,818,12908.04,0.0,12908.04,5311,Noon Egypt,M842979,POS,12908.04,818,Assiut,EGY,N,3
Travel Rewards Card,100002,2026-03-16,2026-03-13,818,6062.56,0.0,6062.56,8021,Carrefour Egypt,M851325,POS,6062.56,818,Assiut,EGY,N,3
Classic Credit Card,100002,2026-03-03,2026-03-01,840,985.72,26.52,53812.38,5411,H&M Egypt,M761127,POS,985.72,840,Assiut,SAU,N,3
Cashback Card,100003,2026-03-27,2026-03-24,818,7088.07,0.0,7088.07,5944,2B,M671826,POS,7088.07,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-03-20,2026-03-20,818,8536.1,0.0,8536.1,7230,Breadfast,M403260,POS,8536.1,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-03-30,2026-03-28,818,6723.05,0.0,6723.05,7011,iStyle,M923821,ECOM,6723.05,818,Ismailia,EGY,N,4
Cashback Card,100004,2026-03-27,2026-03-26,818,1100.48,0.0,1100.48,7298,ElMenus,M800667,ECOM,1100.48,818,Giza,EGY,N,5
Cashback Card,100004,2026-03-24,2026-03-22,818,14521.01,0.0,14521.01,5912,Costa Coffee,M192020,ATM,14521.01,818,Giza,EGY,N,5
Cashback Card,100004,2026-03-22,2026-03-20,818,1740.31,0.0,1740.31,7011,Shell Egypt,M844196,POS,1740.31,818,Giza,EGY,N,5
World Elite Card,100005,2026-03-24,2026-03-21,818,4327.75,0.0,4327.75,5411,Vodafone Cash,M532833,POS,4327.75,818,Alexandria,EGY,N,6
World Elite Card,100005,2026-03-28,2026-03-26,818,13344.47,0.0,13344.47,5691,Carrefour Egypt,M663764,POS,13344.47,818,Alexandria,EGY,N,6
World Elite Card,100005,2026-03-30,2026-03-28,978,139.81,1.48,6622.8,7298,Costa Coffee,M750305,POS,139.81,840,Alexandria,GBR,N,6
World Elite Card,100005,2026-03-22,2026-03-19,826,85.17,0.99,3411.18,5732,Instashop,M745119,ATM,85.17,840,Alexandria,ARE,N,6
World Elite Card,100005,2026-03-09,2026-03-08,818,6990.13,0.0,6990.13,5812,Jumia Egypt,M754409,MOTO,6990.13,818,Alexandria,EGY,N,6
World Elite Card,100005,2026-03-11,2026-03-11,818,12787.79,0.0,12787.79,5812,Talabat,M938603,ECOM,12787.79,818,Alexandria,EGY,N,6
World Elite Card,100005,2026-03-29,2026-03-26,818,4773.58,0.0,4773.58,5999,ElMenus,M850372,ECOM,4773.58,818,Alexandria,EGY,N,6
World Elite Card,100005,2026-03-22,2026-03-20,978,1782.1,39.71,81395.05,5651,Jumia Egypt,M833352,POS,1782.1,840,Alexandria,GBR,N,6
World Elite Card,100005,2026-03-04,2026-03-02,818,12624.89,0.0,12624.89,5812,Shell Egypt,M141045,POS,12624.89,818,Alexandria,EGY,N,6
