BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
4,Mansoura,2024-10-01,5000,A,30DD,30 Days Delinquent,30,2026-03-23,Cashback Card,500,150,1531.24,3414.89,1290.27,2026-03-30,718.62,F,1982-09-01,Ministry of Health,Primary,100001,,2407.03,18,,,,30DD,2
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-03-19,Gold Credit Card,0,300,-97.4,14832.11,220.29,2026-03-25,11.77,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,62,,,,NORM,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-01,Cashback Card,0,300,10879.87,3732.14,4236.41,2026-03-03,506.35,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,62,,,,NORM,3
9,Ismailia,2022-03-31,10000,A,NORM,Normal,0,2026-03-22,Cashback Card,200,1000,7446.64,2277.45,708.26,2026-03-18,527.22,M,1965-08-07,Ministry of Health,Primary,100003,,0.0,48,,,,NORM,4
5,Tanta,2020-08-11,10000,A,30DD,30 Days Delinquent,30,2026-03-22,Cashback Card,200,150,2700.17,6889.72,2040.31,2026-03-04,1657.27,F,1963-07-31,Microsoft Egypt,Primary,100004,,563.55,68,,,,30DD,5
1,Cairo Main,2021-07-16,75000,A,30DD,30 Days Delinquent,30,2026-03-31,Titanium Credit Card,100,500,9859.54,64831.34,18744.53,2026-03-13,974.22,F,1996-02-10,Talaat Moustafa Group,Secondary,100006,,24814.0,57,,,,30DD,7
5,Tanta,2020-10-07,150000,A,NORM,Normal,0,2026-04-01,Platinum Credit Card,500,300,139791.32,10169.59,6438.38,2026-03-12,580.71,M,1966-04-06,Ministry of Health,Secondary,100007,,0.0,66,,,,NORM,8
8,Zagazig,2018-07-12,10000,A,NORM,Normal,0,2026-03-27,Cashback Card,500,1000,8764.08,737.51,1329.19,2026-03-18,632.39,M,1964-01-29,Banque Misr,Primary,100008,,0.0,94,,,,NORM,9
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-03-20,Cashback Card,200,300,3495.75,1237.42,681.21,2026-03-07,1209.64,M,1971-04-12,CIB,Primary,100009,,0.0,24,,,,NORM,10
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-03-20,Classic Credit Card,100,300,8519.68,1412.94,2346.95,2026-03-10,258.95,F,1992-10-30,Ministry of Health,Secondary,100012,,0.0,34,,,,NORM,13
