BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,WROF,Write Off,180,2026-03-29,Classic Credit Card,0,1000,15135.88,4693.7,3948.63,2026-03-15,1691.64,F,1961-02-13,Elsewedy Capital,Primary,100000,2026-02-04,5450.46,62,,,,WROF,1
7,Luxor,2021-02-12,15000,A,SUSP,Profit Suspended,120,2026-03-17,World Elite Card,0,300,11214.55,3365.53,3156.61,2026-03-09,1814.07,F,1975-04-06,El Sewedy Electric,Primary,100002,,7949.76,62,,,,SUSP,3
10,Suez,2019-12-02,150000,I,CLSD,Closed,0,2026-03-24,Platinum Credit Card,200,1000,-9529.79,140056.36,31153.99,2026-03-17,680.96,M,1988-06-25,Elsewedy Capital,Primary,100005,2026-03-05,0.0,77,,,,CLSD,6
1,Cairo Main,2020-12-14,150000,I,CLSC,Closed by Customer,0,2026-03-23,World Elite Card,200,1000,112011.48,37890.89,4307.68,2026-03-04,990.74,M,1992-05-22,Orascom,Primary,100010,2026-02-27,0.0,64,,,,CLSC,11
9,Ismailia,2024-09-19,50000,A,FRAD,Fraud,0,2026-03-20,Business Credit Card,200,300,16044.85,33720.44,4402.4,2026-03-09,1780.27,M,1960-01-10,Self Employed,Primary,100011,,0.0,18,,,,FRAD,12
2,Giza,2023-06-14,10000,I,CLSB,Closed by Bank,0,2026-03-28,Cashback Card,100,300,9051.81,905.79,2275.66,2026-03-19,1537.46,F,1992-10-30,Ministry of Health,Secondary,100012,2026-02-26,0.0,34,,,,CLSB,13
8,Zagazig,2022-09-29,150000,I,CLSC,Closed by Customer,0,2026-03-22,Business Credit Card,200,150,56287.05,93658.95,43010.55,2026-03-30,1545.43,M,1972-10-17,Self Employed,Primary,100019,2026-04-01,0.0,42,,,,CLSC,20
2,Giza,2020-08-21,75000,A,LOST,Lost,0,2026-03-29,Platinum Credit Card,0,500,38068.86,36472.93,20004.88,2026-03-24,1585.66,F,1990-04-15,CIB,Secondary,100021,,0.0,68,,,,LOST,22
7,Luxor,2019-09-26,20000,A,SUSP,Profit Suspended,120,2026-03-28,Gold Credit Card,200,500,8373.8,11312.97,1772.57,2026-03-26,1278.79,M,1987-11-03,Orascom,Primary,100028,,4117.52,79,,,,SUSP,29
6,Assiut,2019-05-26,30000,I,CNCD,Cancelled,0,2026-03-20,Gold Credit Card,200,500,3925.83,25756.38,1096.03,2026-03-06,163.24,F,1989-10-03,Government,Primary,100033,,0.0,83,,,,CNCD,34
