BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
4,Mansoura,2024-10-01,5000,I,CLSD,Closed,0,2026-02-01,Cashback Card,500,150,4337.27,501.37,439.47,2026-01-03,414.01,F,1982-09-01,Ministry of Health,Primary,100001,2026-01-03,0.0,16,,,,CLSD,2
7,Luxor,2021-02-12,15000,A,LOST,Lost,0,2026-01-17,World Elite Card,0,300,-1391.59,13592.25,3045.93,2026-01-04,1724.34,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,60,,,,LOST,3
5,Tanta,2020-08-11,10000,A,SUSP,Profit Suspended,120,2026-01-21,Cashback Card,200,150,-372.24,9221.93,2175.45,2026-01-30,798.86,F,1963-07-31,Microsoft Egypt,Primary,100004,,5055.69,66,,,,SUSP,5
10,Suez,2019-12-02,150000,I,CLSC,Closed by Customer,0,2026-01-28,Platinum Credit Card,200,1000,84109.74,65670.24,35434.06,2026-01-28,1694.14,M,1988-06-25,Elsewedy Capital,Primary,100005,2025-12-15,0.0,75,,,,CLSC,6
1,Cairo Main,2021-07-16,75000,A,SUSP,Profit Suspended,120,2026-01-28,Titanium Credit Card,100,500,51844.26,23099.85,9290.09,2026-01-21,1825.95,F,1996-02-10,Talaat Moustafa Group,Secondary,100006,,8018.43,55,,,,SUSP,7
2,Giza,2023-06-14,10000,I,CLSC,Closed by Customer,0,2026-01-22,Cashback Card,100,300,9210.23,467.84,1761.41,2026-01-15,1046.67,F,1992-10-30,Ministry of Health,Secondary,100012,2026-01-08,0.0,32,,,,CLSC,13
5,Tanta,2022-03-10,100000,I,CLSB,Closed by Bank,0,2026-01-17,World Elite Card,100,0,40950.81,58964.63,15757.11,2026-01-26,1794.27,F,1977-11-24,Government,Primary,100013,2026-02-01,0.0,47,,,,CLSB,14
7,Luxor,2023-03-28,5000,A,WROF,Write Off,180,2026-01-31,Cashback Card,200,0,3611.21,1126.73,303.79,2026-01-10,796.98,M,1978-06-10,CIB,Primary,100016,2026-01-26,1070.93,34,,,,WROF,17
3,Alexandria,2020-01-22,30000,A,LOST,Lost,0,2026-01-30,Classic Credit Card,500,1000,12983.62,16880.64,8654.91,2026-01-04,1940.87,M,1978-12-04,Freelancer,Primary,100017,,0.0,73,,,,LOST,18
9,Ismailia,2019-03-01,15000,A,LOST,Lost,0,2026-01-23,Classic Credit Card,100,300,3219.29,11347.08,1120.6,2026-01-23,1251.84,F,1973-06-06,Talaat Moustafa Group,Primary,100024,,0.0,84,,,,LOST,25
