PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Classic Credit Card,100000,2026-03-29,2026-03-26,818,14285.88,0.0,14285.88,7230,Instashop,M836716,ECOM,14285.88,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-27,2026-03-24,978,1475.7,43.88,55862.68,7011,Spinneys,M556648,POS,1475.7,840,Giza,ARE,N,1
Classic Credit Card,100000,2026-03-05,2026-03-03,818,8095.86,0.0,8095.86,8011,Spinneys,M100693,POS,8095.86,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-19,2026-03-19,818,3404.43,0.0,3404.43,5812,iStyle,M356650,POS,3404.43,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-18,2026-03-17,818,10763.21,0.0,10763.21,5999,Booking.com,M244831,ECOM,10763.21,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-04,2026-03-01,818,10556.26,0.0,10556.26,8011,Expedia,M791136,ATM,10556.26,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-05,2026-03-03,826,316.08,6.12,13303.78,5732,Instashop,M481945,ECOM,316.08,840,Giza,ARE,N,1
Classic Credit Card,100000,2026-03-09,2026-03-09,818,8165.18,0.0,8165.18,5691,LG Electronics,M357546,ECOM,8165.18,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-20,2026-03-20,818,10976.71,0.0,10976.71,5651,Costa Coffee,M928263,ECOM,10976.71,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-04,2026-03-02,818,4536.85,0.0,4536.85,7230,Total Energies,M747628,POS,4536.85,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-19,2026-03-19,818,14822.36,0.0,14822.36,7298,Emirates Airlines,M435830,POS,14822.36,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-16,2026-03-13,818,5873.36,0.0,5873.36,8099,Booking.com,M507949,ECOM,5873.36,818,Giza,EGY,N,1
Classic Credit Card,100000,2026-03-17,2026-03-16,978,1688.62,47.67,61503.07,5651,Booking.com,M612240,POS,1688.62,840,Giza,USA,N,1
Classic Credit Card,100000,2026-03-25,2026-03-25,818,8355.72,0.0,8355.72,5944,Virgin Megastore,M278396,POS,8355.72,818,Giza,EGY,N,1
Cashback Card,100001,2026-04-01,2026-03-30,818,10451.76,0.0,10451.76,7298,Talabat,M747270,ATM,10451.76,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-21,2026-03-21,826,1932.08,20.42,117158.14,5311,Expedia,M649661,POS,1932.08,840,Mansoura,FRA,N,2
Cashback Card,100001,2026-03-23,2026-03-22,818,9735.72,0.0,9735.72,5541,Total Energies,M901104,POS,9735.72,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-31,2026-03-29,818,725.77,0.0,725.77,5541,Emirates Airlines,M540598,ATM,725.77,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-19,2026-03-19,826,790.16,18.62,28014.52,5732,Jumia Egypt,M892169,POS,790.16,840,Mansoura,FRA,N,2
Cashback Card,100001,2026-03-23,2026-03-22,818,4195.83,0.0,4195.83,5912,B.TECH,M729131,MOTO,4195.83,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-27,2026-03-26,818,4847.96,0.0,4847.96,5311,Vodafone Cash,M685233,POS,4847.96,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-05,2026-03-05,840,1701.27,50.84,65183.56,5812,B.TECH,M876041,ECOM,1701.27,840,Mansoura,FRA,N,2
Cashback Card,100001,2026-03-08,2026-03-08,818,12908.04,0.0,12908.04,5311,Noon Egypt,M842979,POS,12908.04,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-22,2026-03-21,818,3520.3,0.0,3520.3,8021,Carrefour Egypt,M851325,POS,3520.3,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-18,2026-03-18,826,968.12,10.48,60805.0,5411,H&M Egypt,M761127,POS,968.12,840,Mansoura,FRA,N,2
Cashback Card,100001,2026-03-09,2026-03-06,818,10688.92,0.0,10688.92,5945,Emirates Airlines,M899384,POS,10688.92,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-30,2026-03-27,818,292.1,0.0,292.1,4900,H&M Egypt,M840378,MOTO,292.1,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-25,2026-03-23,826,1997.95,30.95,109806.27,5311,Jumia Egypt,M883715,ECOM,1997.95,840,Mansoura,SAU,N,2
Cashback Card,100001,2026-03-29,2026-03-29,818,12607.33,0.0,12607.33,4900,2B,M801517,POS,12607.33,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-30,2026-03-29,978,169.41,3.32,11348.28,5912,Costa Coffee,M192020,ATM,169.41,840,Mansoura,ARE,N,2
Cashback Card,100001,2026-03-22,2026-03-20,818,1740.31,0.0,1740.31,7011,Shell Egypt,M844196,POS,1740.31,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-27,2026-03-24,818,9752.85,0.0,9752.85,8011,Apple Store Online,M113797,POS,9752.85,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-18,2026-03-16,818,13344.47,0.0,13344.47,5691,Carrefour Egypt,M663764,POS,13344.47,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-30,2026-03-28,978,139.81,1.48,6622.8,7298,Costa Coffee,M750305,POS,139.81,840,Mansoura,GBR,N,2
Cashback Card,100001,2026-03-22,2026-03-19,826,85.17,0.99,3411.18,5732,Instashop,M745119,ATM,85.17,840,Mansoura,ARE,N,2
Cashback Card,100001,2026-03-09,2026-03-08,818,6990.13,0.0,6990.13,5812,Jumia Egypt,M754409,MOTO,6990.13,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-11,2026-03-11,818,12787.79,0.0,12787.79,5812,Talabat,M938603,ECOM,12787.79,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-29,2026-03-26,818,4773.58,0.0,4773.58,5999,ElMenus,M850372,ECOM,4773.58,818,Mansoura,EGY,N,2
Cashback Card,100001,2026-03-22,2026-03-20,978,1782.1,39.71,81395.05,5651,Jumia Egypt,M833352,POS,1782.1,840,Mansoura,GBR,N,2
Cashback Card,100002,2026-03-04,2026-03-02,818,12624.89,0.0,12624.89,5812,Shell Egypt,M141045,POS,12624.89,818,Luxor,EGY,N,3
Cashback Card,100002,2026-03-16,2026-03-15,818,12400.75,0.0,12400.75,7011,Instashop,M432349,POS,12400.75,818,Luxor,EGY,N,3
Gold Credit Card,100002,2026-03-27,2026-03-25,826,1352.02,13.52,54007.76,5411,KFC Egypt,M407273,ATM,1352.02,840,Luxor,TUR,N,3
World Elite Card,100002,2026-03-15,2026-03-14,818,3123.87,0.0,3123.87,5812,Uber Egypt,M952281,ECOM,3123.87,818,Luxor,EGY,N,3
World Elite Card,100002,2026-04-01,2026-03-30,818,10770.92,0.0,10770.92,5651,Carrefour Egypt,M727961,POS,10770.92,818,Luxor,EGY,N,3
