PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Platinum Credit Card,100087,2026-03-12,2026-03-09,818,14019.96,0.0,14019.96,8011,Virgin Megastore,M744986,POS,14019.96,818,Giza,EGY,N,
Platinum Credit Card,100087,2026-03-15,2026-03-13,818,12283.27,0.0,12283.27,4111,Starbucks Egypt,M584756,MOTO,12283.27,818,Giza,EGY,N,
Platinum Credit Card,100087,2026-03-30,2026-03-30,818,2532.13,0.0,2532.13,8021,Samsung Egypt,M310674,ECOM,2532.13,818,Giza,EGY,N,
Business Credit Card,100168,2026-03-07,2026-03-04,840,1489.86,29.05,55137.43,7298,Expedia,M592343,POS,1489.86,840,Tanta,ARE,Y,
Business Credit Card,100168,2026-04-01,2026-03-30,818,13736.43,0.0,13736.43,5812,Amazon.eg,M719179,MOTO,13736.43,818,Tanta,EGY,N,
Business Credit Card,100168,2026-03-15,2026-03-12,818,1634.52,0.0,1634.52,7230,Samsung Egypt,M437324,ECOM,1634.52,818,Tanta,EGY,N,
Business Credit Card,100168,2026-03-11,2026-03-10,818,7205.1,0.0,7205.1,5912,Noon Egypt,M290897,POS,7205.1,818,Tanta,EGY,N,
Travel Rewards Card,100432,2026-03-09,2026-03-06,818,6294.53,0.0,6294.53,5944,Samsung Egypt,M176008,MOTO,6294.53,818,Zagazig,EGY,N,
Travel Rewards Card,100432,2026-03-11,2026-03-10,840,753.36,9.59,33943.53,5311,2B,M767447,POS,753.36,840,Zagazig,TUR,N,
Travel Rewards Card,100432,2026-03-06,2026-03-03,818,7310.11,0.0,7310.11,8021,Amazon.eg,M484415,POS,7310.11,818,Zagazig,EGY,N,
Travel Rewards Card,100432,2026-03-07,2026-03-04,818,9549.91,0.0,9549.91,5912,KFC Egypt,M404780,MOTO,9549.91,818,Zagazig,EGY,N,
Travel Rewards Card,100432,2026-03-13,2026-03-10,978,1453.36,27.97,52724.73,5311,Total Energies,M238299,POS,1453.36,840,Zagazig,ARE,N,
Travel Rewards Card,100432,2026-03-08,2026-03-06,818,12416.98,0.0,12416.98,5814,2B,M540023,ECOM,12416.98,818,Zagazig,EGY,N,
Travel Rewards Card,100432,2026-03-10,2026-03-08,818,2318.26,0.0,2318.26,4900,Starbucks Egypt,M798869,ATM,2318.26,818,Zagazig,EGY,N,
Travel Rewards Card,100432,2026-03-27,2026-03-27,818,10474.66,0.0,10474.66,4111,Carrefour Egypt,M892575,ATM,10474.66,818,Zagazig,EGY,Y,
Travel Rewards Card,100432,2026-03-19,2026-03-17,818,5287.59,0.0,5287.59,5732,Uber Egypt,M908087,ATM,5287.59,818,Zagazig,EGY,N,
Business Credit Card,100701,2026-03-21,2026-03-21,818,13067.92,0.0,13067.92,5691,Talabat,M985897,ECOM,13067.92,818,Suez,EGY,N,
Business Credit Card,100701,2026-03-05,2026-03-02,818,6023.68,0.0,6023.68,5541,Noon Egypt,M499379,ECOM,6023.68,818,Suez,EGY,N,
Business Credit Card,100701,2026-03-05,2026-03-02,818,10448.81,0.0,10448.81,4111,Carrefour Egypt,M270421,POS,10448.81,818,Suez,EGY,N,
Business Credit Card,100701,2026-03-25,2026-03-23,818,4391.53,0.0,4391.53,8021,Shell Egypt,M929983,ECOM,4391.53,818,Suez,EGY,N,
Business Credit Card,100701,2026-03-28,2026-03-26,818,11915.11,0.0,11915.11,4111,Expedia,M860006,POS,11915.11,818,Suez,EGY,N,
Business Credit Card,100701,2026-03-25,2026-03-23,818,7625.38,0.0,7625.38,5732,Uber Egypt,M512358,ECOM,7625.38,818,Suez,EGY,N,
Business Credit Card,100701,2026-04-01,2026-03-29,818,4415.79,0.0,4415.79,8021,Talabat,M628057,MOTO,4415.79,818,Suez,EGY,N,
Business Credit Card,100701,2026-03-22,2026-03-22,818,5679.84,0.0,5679.84,5541,Shell Egypt,M148791,ECOM,5679.84,818,Suez,EGY,N,
Cashback Card,100722,2026-03-06,2026-03-06,818,11772.0,0.0,11772.0,5812,Amazon.eg,M223743,ECOM,11772.0,818,Giza,EGY,N,
Cashback Card,100722,2026-03-06,2026-03-05,818,14160.49,0.0,14160.49,7011,Breadfast,M813330,POS,14160.49,818,Giza,EGY,N,
Cashback Card,100722,2026-03-05,2026-03-02,818,5995.17,0.0,5995.17,4900,Booking.com,M125689,POS,5995.17,818,Giza,EGY,N,
Cashback Card,100722,2026-03-07,2026-03-05,818,13615.96,0.0,13615.96,5812,Vodafone Cash,M818968,ECOM,13615.96,818,Giza,EGY,N,
Cashback Card,100722,2026-03-26,2026-03-24,818,12381.96,0.0,12381.96,4900,B.TECH,M387722,ECOM,12381.96,818,Giza,EGY,N,
Cashback Card,100722,2026-04-02,2026-03-30,818,598.26,0.0,598.26,7011,Jumia Egypt,M410163,POS,598.26,818,Giza,EGY,N,
Cashback Card,100722,2026-03-03,2026-03-01,818,14980.65,0.0,14980.65,4111,Shell Egypt,M355019,ECOM,14980.65,818,Giza,EGY,N,
Cashback Card,100722,2026-03-29,2026-03-27,818,12450.59,0.0,12450.59,5812,ElMenus,M677759,POS,12450.59,818,Giza,EGY,N,
Cashback Card,100722,2026-03-13,2026-03-11,840,1287.5,37.11,42802.14,8011,B.TECH,M556664,ECOM,1287.5,840,Giza,GBR,N,
Cashback Card,100722,2026-03-18,2026-03-16,818,2004.45,0.0,2004.45,5311,Booking.com,M753647,POS,2004.45,818,Giza,EGY,N,
Cashback Card,100722,2026-03-05,2026-03-02,818,8177.7,0.0,8177.7,5812,iStyle,M849006,POS,8177.7,818,Giza,EGY,N,
Cashback Card,100722,2026-03-04,2026-03-04,818,11421.58,0.0,11421.58,4900,Shell Egypt,M777567,POS,11421.58,818,Giza,EGY,N,
Cashback Card,100722,2026-03-03,2026-03-01,818,13212.47,0.0,13212.47,4900,Shell Egypt,M584701,POS,13212.47,818,Giza,EGY,N,
Cashback Card,100722,2026-03-06,2026-03-03,818,5521.55,0.0,5521.55,5999,Zara Egypt,M359170,ECOM,5521.55,818,Giza,EGY,N,
Cashback Card,100722,2026-03-17,2026-03-16,818,10890.86,0.0,10890.86,5691,Talabat,M271440,POS,10890.86,818,Giza,EGY,N,
Cashback Card,100722,2026-03-23,2026-03-20,818,11047.9,0.0,11047.9,8021,2B,M608228,POS,11047.9,818,Giza,EGY,N,
Gold Credit Card,100864,2026-03-06,2026-03-06,818,13754.64,0.0,13754.64,8099,Samsung Egypt,M472742,ECOM,13754.64,818,Luxor,EGY,N,
Gold Credit Card,100864,2026-03-27,2026-03-27,818,11708.02,0.0,11708.02,8021,ElMenus,M802726,POS,11708.02,818,Luxor,EGY,N,
Cashback Card,100896,2026-03-05,2026-03-04,818,1374.55,0.0,1374.55,8099,Amazon.eg,M164300,POS,1374.55,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-04,2026-03-04,818,14304.5,0.0,14304.5,7298,ElMenus,M157415,POS,14304.5,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-06,2026-03-03,840,1367.15,21.9,66626.37,5311,Emirates Airlines,M286860,ECOM,1367.15,840,Tanta,SAU,N,
Cashback Card,100896,2026-03-08,2026-03-06,818,14343.1,0.0,14343.1,5912,B.TECH,M171427,ECOM,14343.1,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-15,2026-03-12,818,1368.55,0.0,1368.55,5999,Starbucks Egypt,M326405,POS,1368.55,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-13,2026-03-13,818,211.56,0.0,211.56,4900,Spinneys,M764632,POS,211.56,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-07,2026-03-07,818,5607.87,0.0,5607.87,5411,2B,M691156,POS,5607.87,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-10,2026-03-07,818,3626.11,0.0,3626.11,5999,Instashop,M755412,ECOM,3626.11,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-08,2026-03-05,818,1001.5,0.0,1001.5,5814,Talabat,M390208,POS,1001.5,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-23,2026-03-21,818,3973.22,0.0,3973.22,7230,Emirates Airlines,M359567,POS,3973.22,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-03,2026-03-03,818,3202.15,0.0,3202.15,7011,ElMenus,M748468,POS,3202.15,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-14,2026-03-14,818,5777.43,0.0,5777.43,8011,Emirates Airlines,M602082,ATM,5777.43,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-11,2026-03-08,818,6369.35,0.0,6369.35,4900,Jumia Egypt,M404127,ECOM,6369.35,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-29,2026-03-29,818,13648.87,0.0,13648.87,5814,Costa Coffee,M392870,ECOM,13648.87,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-25,2026-03-22,818,13051.08,0.0,13051.08,8011,iStyle,M491103,ECOM,13051.08,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-29,2026-03-26,826,505.36,12.12,20208.5,7230,B.TECH,M384796,ATM,505.36,840,Tanta,USA,N,
Cashback Card,100896,2026-03-23,2026-03-20,818,13626.94,0.0,13626.94,5812,2B,M446369,ATM,13626.94,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-13,2026-03-10,818,13425.8,0.0,13425.8,7011,Booking.com,M254444,POS,13425.8,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-13,2026-03-12,978,385.92,4.37,18978.06,8099,H&M Egypt,M967809,ECOM,385.92,840,Tanta,USA,N,
Cashback Card,100896,2026-03-20,2026-03-20,818,13696.73,0.0,13696.73,4111,Vodafone Cash,M330726,POS,13696.73,818,Tanta,EGY,Y,
Cashback Card,100896,2026-03-11,2026-03-08,818,9749.37,0.0,9749.37,5812,Carrefour Egypt,M178287,POS,9749.37,818,Tanta,EGY,N,
Cashback Card,100896,2026-03-23,2026-03-22,840,1807.01,37.8,84677.83,5812,LG Electronics,M439782,ECOM,1807.01,840,Tanta,GBR,N,
Cashback Card,100955,2026-03-21,2026-03-20,818,10605.11,0.0,10605.11,8021,Seoudi Market,M116363,POS,10605.11,818,Luxor,EGY,N,
Cashback Card,100961,2026-03-15,2026-03-13,818,11076.84,0.0,11076.84,5541,Talabat,M834987,ATM,11076.84,818,Giza,EGY,N,
Cashback Card,100961,2026-03-18,2026-03-17,818,7235.61,0.0,7235.61,5541,Talabat,M760926,MOTO,7235.61,818,Giza,EGY,N,
Cashback Card,100961,2026-03-17,2026-03-15,818,13931.49,0.0,13931.49,8021,Instashop,M845570,ECOM,13931.49,818,Giza,EGY,N,
Cashback Card,100961,2026-03-30,2026-03-29,818,6668.17,0.0,6668.17,5311,Costa Coffee,M966290,ECOM,6668.17,818,Giza,EGY,N,
