BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUES_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,30DD,30 Days Delinquent,30,2026-03-19,Titanium Credit Card,100,0,620.63,19225.16,3638.42,2026-03-16,1466.89,M,1961-02-13,Cairo University,Primary,100000,,8173.56,62,,,,30DD,1
4,Mansoura,2023-09-01,200000,A,NORM,Normal,0,2026-03-19,Classic Credit Card,100,1000,-13955.86,185679.9,24332.16,2026-03-16,957.87,F,1970-06-08,Elsewedy Capital,Primary,100001,,0.0,31,,,,NORM,2
6,Assiut,2020-12-19,5000,A,NORM,Normal,0,2026-03-20,Business Credit Card,0,500,2261.31,2406.29,536.3,2026-03-29,1758.2,M,1987-01-30,Ministry of Health,Primary,100003,,0.0,64,,,,NORM,4
10,Suez,2021-07-12,20000,A,30DD,30 Days Delinquent,30,2026-03-17,Business Credit Card,500,500,3078.59,16762.41,813.47,2026-03-21,960.54,M,1999-04-24,Talaat Moustafa Group,Primary,100007,,6657.8,57,,,,30DD,8
5,Tanta,2024-07-22,75000,A,NORM,Normal,0,2026-04-01,Travel Rewards Card,200,150,17913.89,56784.48,11160.13,2026-03-22,1098.09,M,1993-07-05,Government,Primary,100008,,0.0,20,,,,NORM,9
3,Alexandria,2019-10-18,75000,A,NORM,Normal,0,2026-04-01,Gold Credit Card,500,500,36367.19,38153.01,11974.52,2026-03-21,1848.56,F,1988-02-23,Government,Primary,100009,,0.0,78,,,,NORM,10
3,Alexandria,2019-03-12,30000,A,30DD,30 Days Delinquent,30,2026-03-21,Titanium Credit Card,100,300,15007.2,14516.1,8615.4,2026-03-04,1734.81,M,1982-10-09,Ministry of Health,Secondary,100011,,2933.81,85,,,,30DD,12
10,Suez,2023-06-25,5000,A,NORM,Normal,0,2026-03-23,Gold Credit Card,200,300,-12.73,4720.83,120.42,2026-03-28,1051.16,M,1974-07-16,Orange Egypt,Primary,100012,,0.0,33,,,,NORM,13
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-03-27,Platinum Credit Card,100,500,8166.89,1652.58,130.76,2026-03-09,523.78,M,1992-10-30,Talaat Moustafa Group,Primary,100013,,0.0,34,,,,NORM,14
4,Mansoura,2020-04-03,30000,A,30DD,30 Days Delinquent,30,2026-03-21,Travel Rewards Card,200,500,17115.8,12622.77,7517.44,2026-03-16,1278.9,F,1984-03-10,CIB,Primary,100014,,8326.1,72,,,,30DD,15
2,Giza,2020-09-01,30000,A,NORM,Normal,0,2026-03-20,Business Credit Card,100,1000,24631.44,5198.61,118.73,2026-03-11,1671.23,M,1983-01-23,Cairo University,Primary,100016,,0.0,67,,,,NORM,17
7,Luxor,2019-01-22,10000,A,NORM,Normal,0,2026-03-21,Travel Rewards Card,200,500,1889.99,7824.2,2907.12,2026-03-19,298.47,F,1968-07-16,Freelancer,Secondary,100017,,0.0,87,,,,NORM,18
1,Cairo Main,2021-10-21,10000,A,NORM,Normal,0,2026-03-29,Titanium Credit Card,100,150,1384.15,8521.33,1814.18,2026-03-05,1267.98,F,1978-01-22,Banque Misr,Primary,100018,,0.0,54,,,,NORM,19
4,Mansoura,2018-11-05,100000,A,NORM,Normal,0,2026-03-26,Gold Credit Card,0,1000,7655.56,92323.52,23473.77,2026-03-16,39.63,M,1999-03-24,National Bank of Egypt,Secondary,100019,,0.0,90,,,,NORM,20
