BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-04-23,Classic Credit Card,0,1000,4543.14,15024.07,2216.91,2026-04-13,754.87,F,1961-02-13,Elsewedy Capital,Primary,100000,,0.0,63,,,,NORM,1
4,Mansoura,2024-10-01,5000,A,NORM,Normal,0,2026-04-27,Cashback Card,500,150,-378.0,4349.03,112.62,2026-04-16,313.57,F,1982-09-01,Ministry of Health,Primary,100001,,0.0,19,,,,NORM,2
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-17,Gold Credit Card,0,300,8986.76,5708.42,2053.53,2026-04-11,16.78,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-05-01,Cashback Card,0,300,7282.35,7452.06,1189.82,2026-04-07,1235.6,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NORM,3
7,Luxor,2021-02-12,15000,A,NEW,New,0,2026-04-17,World Elite Card,0,300,3945.5,10691.79,1158.35,2026-04-14,1101.96,F,1975-04-06,El Sewedy Electric,Primary,100002,,0.0,63,,,,NEW,3
9,Ismailia,2022-03-31,10000,A,NORM,Normal,0,2026-04-24,Cashback Card,200,1000,7609.22,1918.03,2692.14,2026-04-13,384.8,M,1965-08-07,Ministry of Health,Primary,100003,,0.0,49,,,,NORM,4
5,Tanta,2020-08-11,10000,A,NORM,Normal,0,2026-04-27,Cashback Card,200,150,7357.12,2373.29,2753.81,2026-04-16,773.78,F,1963-07-31,Microsoft Egypt,Primary,100004,,0.0,69,,,,NORM,5
10,Suez,2019-12-02,150000,A,NORM,Normal,0,2026-04-18,Platinum Credit Card,200,1000,19106.84,130558.18,22695.94,2026-04-30,1406.47,M,1988-06-25,Elsewedy Capital,Primary,100005,,0.0,78,,,,NORM,6
1,Cairo Main,2021-07-16,75000,A,NORM,Normal,0,2026-04-16,Titanium Credit Card,100,500,25182.98,49788.96,20742.75,2026-04-11,1270.83,F,1996-02-10,Talaat Moustafa Group,Secondary,100006,,0.0,58,,,,NORM,7
5,Tanta,2020-10-07,150000,A,NORM,Normal,0,2026-04-25,Platinum Credit Card,500,300,85854.38,63880.02,32615.96,2026-04-30,890.26,M,1966-04-06,Ministry of Health,Secondary,100007,,0.0,67,,,,NORM,8
8,Zagazig,2018-07-12,10000,A,NORM,Normal,0,2026-04-24,Cashback Card,500,1000,9244.1,367.93,2118.12,2026-04-04,877.63,M,1964-01-29,Banque Misr,Primary,100008,,0.0,95,,,,NORM,9
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-04-22,Cashback Card,200,300,3358.5,1204.25,791.25,2026-04-30,1985.91,M,1971-04-12,CIB,Primary,100009,,0.0,25,,,,NORM,10
1,Cairo Main,2020-12-14,150000,A,NORM,Normal,0,2026-04-28,World Elite Card,200,1000,108876.81,40963.17,24323.06,2026-04-10,469.87,M,1992-05-22,Orascom,Primary,100010,,0.0,65,,,,NORM,11
9,Ismailia,2024-09-19,50000,A,NORM,Normal,0,2026-04-16,Business Credit Card,200,300,5515.04,44446.05,12278.23,2026-04-27,1337.31,M,1960-01-10,Self Employed,Primary,100011,,0.0,19,,,,NORM,12
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-04-23,Cashback Card,100,300,444.02,9315.74,1806.87,2026-04-07,492.5,F,1992-10-30,Ministry of Health,Secondary,100012,,0.0,35,,,,NORM,13
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-04-30,Classic Credit Card,100,300,4216.2,5511.49,1348.75,2026-04-07,703.71,F,1992-10-30,Ministry of Health,Secondary,100012,,0.0,35,,,,NORM,13
5,Tanta,2022-03-10,100000,A,NORM,Normal,0,2026-05-01,World Elite Card,100,0,40147.23,59635.42,960.78,2026-04-21,1843.18,F,1977-11-24,Government,Primary,100013,,0.0,50,,,,NORM,14
10,Suez,2018-01-30,10000,A,NORM,Normal,0,2026-04-28,Classic Credit Card,200,0,1879.54,7662.71,759.2,2026-04-30,664.11,M,1969-11-17,Orange Egypt,Primary,100014,,0.0,100,,,,NORM,15
9,Ismailia,2024-05-27,200000,A,NORM,Normal,0,2026-04-16,Business Credit Card,500,500,65319.3,134487.6,7010.65,2026-04-11,1022.0,M,1965-12-07,Self Employed,Primary,100015,,0.0,23,,,,NORM,16
7,Luxor,2023-03-28,5000,A,NORM,Normal,0,2026-04-22,Cashback Card,200,0,1744.03,2940.41,474.14,2026-04-20,299.38,M,1978-06-10,CIB,Primary,100016,,0.0,37,,,,NORM,17
3,Alexandria,2020-01-22,30000,A,NORM,Normal,0,2026-04-30,Classic Credit Card,500,1000,21829.82,7969.23,1570.71,2026-04-25,1987.95,M,1978-12-04,Freelancer,Primary,100017,,0.0,76,,,,NORM,18
2,Giza,2020-08-26,15000,A,NORM,Normal,0,2026-04-18,Classic Credit Card,500,0,13977.15,812.84,2771.51,2026-04-29,1332.41,M,1993-10-20,Amazon Egypt,Primary,100018,,0.0,69,,,,NORM,19
8,Zagazig,2022-09-29,150000,A,NORM,Normal,0,2026-04-17,Business Credit Card,200,150,140776.42,9093.69,10244.91,2026-04-25,1434.54,M,1972-10-17,Self Employed,Primary,100019,,0.0,43,,,,NORM,20
6,Assiut,2018-07-25,200000,A,NEW,New,0,2026-04-27,Business Credit Card,100,0,96990.64,102673.9,31536.86,2026-04-23,1606.97,M,1962-07-25,Self Employed,Secondary,100020,,0.0,94,,,,NEW,21
2,Giza,2020-08-21,75000,A,NORM,Normal,0,2026-04-20,Platinum Credit Card,0,500,44979.7,29717.39,8781.23,2026-04-26,1293.8,F,1990-04-15,CIB,Secondary,100021,,0.0,69,,,,NORM,22
2,Giza,2020-08-21,75000,A,NORM,Normal,0,2026-04-18,Travel Rewards Card,0,500,43623.19,31006.99,4201.11,2026-04-17,1965.91,F,1990-04-15,CIB,Secondary,100021,,0.0,69,,,,NORM,22
2,Giza,2020-08-21,75000,A,NORM,Normal,0,2026-04-30,Classic Credit Card,0,500,20881.68,53931.86,6045.42,2026-04-13,1119.12,F,1990-04-15,CIB,Secondary,100021,,0.0,69,,,,NORM,22
4,Mansoura,2022-06-10,15000,A,NORM,Normal,0,2026-04-26,Classic Credit Card,0,500,6227.15,8309.82,3177.15,2026-04-04,820.84,M,1971-11-30,Juhayna,Primary,100022,,0.0,47,,,,NORM,23
5,Tanta,2021-11-30,10000,A,NORM,Normal,0,2026-04-29,Classic Credit Card,500,1000,5582.41,4415.56,1196.37,2026-04-29,297.29,F,1965-12-10,Elsewedy Capital,Primary,100023,,0.0,53,,,,NORM,24
9,Ismailia,2019-03-01,15000,A,NORM,Normal,0,2026-04-18,Classic Credit Card,100,300,12072.95,2499.37,2865.14,2026-04-29,150.94,F,1973-06-06,Talaat Moustafa Group,Primary,100024,,0.0,87,,,,NORM,25
5,Tanta,2023-06-25,30000,A,NORM,Normal,0,2026-04-28,Gold Credit Card,200,0,-1857.82,27688.64,752.29,2026-04-29,859.38,M,1982-09-02,Orange Egypt,Primary,100025,,0.0,34,,,,NORM,26
3,Alexandria,2022-12-15,150000,A,NORM,Normal,0,2026-04-24,World Elite Card,0,150,89896.07,59667.43,13900.75,2026-04-21,77.49,M,1993-04-01,Amazon Egypt,Secondary,100026,,0.0,41,,,,NORM,27
3,Alexandria,2019-06-07,5000,A,NORM,Normal,0,2026-04-16,Classic Credit Card,200,150,4146.7,418.66,1281.32,2026-04-26,1454.36,M,1979-04-12,Juhayna,Primary,100027,,0.0,84,,,,NORM,28
7,Luxor,2019-09-26,20000,A,NORM,Normal,0,2026-04-21,Gold Credit Card,200,500,11667.14,8254.72,4933.54,2026-04-01,361.8,M,1987-11-03,Orascom,Primary,100028,,0.0,80,,,,NORM,29
