BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,JOINING_FEE,ANNUAL_FEE,LEDGER_BALANCE,AVAILABLE_LIMIT,LAST_PAYMENT_AMOUNT,LAST_PAYMENT_DATE,TOTAL_HOLD,GENDER,DOB,ORGANIZATION,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,CUSTOMER_ID
5,Tanta,2024-07-22,75000,I,CNCD,Cancelled,0,2026-05-01,Travel Rewards Card,200,150,18806.36,56092.32,18921.08,2026-04-16,1327.89,M,1993-07-05,Government,Primary,100008,,0.0,21,,,,CNCD,9
3,Alexandria,2019-10-18,75000,I,CLSB,Closed by Bank,0,2026-04-19,Gold Credit Card,500,500,70499.46,4068.04,150.9,2026-04-22,359.85,F,1988-02-23,Government,Primary,100009,2026-05-01,0.0,79,,,,CLSB,10
10,Suez,2023-06-25,5000,A,WROF,Write Off,180,2026-04-28,Gold Credit Card,200,300,-159.51,4559.93,1297.67,2026-04-07,52.78,M,1974-07-16,Orange Egypt,Primary,100012,2026-03-24,1781.33,34,,,,WROF,13
2,Giza,2023-06-14,10000,I,CLSC,Closed by Customer,0,2026-04-29,Platinum Credit Card,100,500,7273.45,2508.55,9.68,2026-04-10,1179.13,M,1992-10-30,Talaat Moustafa Group,Primary,100013,2026-03-08,0.0,35,,,,CLSC,14
4,Mansoura,2018-11-05,100000,I,CNCD,Cancelled,0,2026-04-26,Gold Credit Card,0,1000,28011.78,71640.54,16887.92,2026-04-27,298.59,M,1999-03-24,National Bank of Egypt,Secondary,100019,,0.0,91,,,,CNCD,20
5,Tanta,2024-03-26,100000,I,CLSD,Closed,0,2026-04-22,Platinum Credit Card,100,300,77560.4,21972.72,19886.87,2026-04-05,1461.21,M,1978-12-22,Orange Egypt,Primary,100021,2026-03-12,0.0,25,,,,CLSD,22
2,Giza,2020-05-23,150000,I,CNCD,Cancelled,0,2026-04-22,World Elite Card,100,300,131239.98,18426.69,42530.55,2026-04-10,432.32,M,1984-02-12,Elsewedy Capital,Primary,100025,,0.0,72,,,,CNCD,26
10,Suez,2019-01-18,20000,I,CNCD,Cancelled,0,2026-04-29,World Elite Card,100,150,12547.19,7205.34,2895.1,2026-04-03,917.36,M,1975-01-13,Vodafone Egypt,Primary,100039,,0.0,88,,,,CNCD,40
7,Luxor,2019-11-08,100000,A,SUSP,Profit Suspended,120,2026-04-23,Platinum Credit Card,0,500,46396.25,53441.49,22770.51,2026-04-23,532.04,M,1992-06-25,National Bank of Egypt,Primary,100047,,24284.28,78,,,,SUSP,48
4,Mansoura,2018-03-25,200000,A,LOST,Lost,0,2026-04-18,Platinum Credit Card,100,150,2428.89,197308.82,4260.22,2026-04-13,1222.59,F,1968-12-10,CIB,Primary,100050,,0.0,98,,,,LOST,51
5,Tanta,2022-02-19,15000,I,CLSD,Closed,0,2026-04-24,Gold Credit Card,100,300,8603.64,6289.3,700.31,2026-04-03,739.42,M,1994-05-26,Cairo University,Primary,100051,2026-04-11,0.0,51,,,,CLSD,52
3,Alexandria,2019-12-23,150000,I,CLSB,Closed by Bank,0,2026-04-26,World Elite Card,500,500,30091.05,119442.44,30920.23,2026-04-18,603.78,F,1979-07-15,Cairo University,Primary,100054,2026-03-02,0.0,77,,,,CLSB,55
7,Luxor,2024-03-24,20000,I,CLSB,Closed by Bank,0,2026-04-26,Business Credit Card,500,500,5175.33,14699.34,2336.32,2026-04-08,288.17,M,1981-11-30,National Bank of Egypt,Primary,100057,2026-04-16,0.0,25,,,,CLSB,58
10,Suez,2024-12-08,20000,I,CLSC,Closed by Customer,0,2026-04-21,Travel Rewards Card,500,500,5086.13,14787.32,4980.01,2026-04-14,539.63,F,1995-06-21,Cairo University,Secondary,100064,2026-04-19,0.0,16,,,,CLSC,65
3,Alexandria,2022-08-01,100000,I,CNCD,Cancelled,0,2026-04-21,Business Credit Card,200,0,52714.64,46824.85,9862.18,2026-04-17,1103.85,M,1960-02-13,Juhayna,Primary,100066,,0.0,45,,,,CNCD,67
3,Alexandria,2018-06-01,15000,A,LOST,Lost,0,2026-04-26,Cashback Card,0,500,6006.66,8952.5,1092.13,2026-04-06,20.06,M,1982-03-21,Government,Secondary,100080,,0.0,96,,,,LOST,81
4,Mansoura,2022-08-15,200000,I,CLSC,Closed by Customer,0,2026-04-16,Platinum Credit Card,100,150,69587.31,130215.12,28185.95,2026-04-29,973.59,M,1983-10-29,Military,Secondary,100084,2026-04-23,0.0,45,,,,CLSC,85
9,Ismailia,2018-10-30,100000,I,CLSB,Closed by Bank,0,2026-05-01,Cashback Card,200,500,63390.59,36168.18,11111.13,2026-04-28,1375.85,F,1967-02-01,Freelancer,Secondary,100086,2026-03-10,0.0,91,,,,CLSB,87
8,Zagazig,2020-08-29,75000,A,SUSP,Profit Suspended,120,2026-04-17,Cashback Card,200,300,39619.8,34948.73,3254.42,2026-04-05,1608.65,M,1964-10-13,Microsoft Egypt,Primary,100087,,43510.54,69,,,,SUSP,88
8,Zagazig,2019-07-31,20000,A,LOST,Lost,0,2026-04-26,Travel Rewards Card,200,0,12901.13,6981.9,3305.45,2026-04-08,439.06,F,1963-05-18,Vodafone Egypt,Primary,100091,,0.0,82,,,,LOST,92
10,Suez,2018-09-16,100000,I,CNCD,Cancelled,0,2026-04-18,World Elite Card,500,0,55788.62,43822.85,13782.6,2026-04-10,1031.95,M,1969-12-05,Orange Egypt,Secondary,100093,,0.0,92,,,,CNCD,94
2,Giza,2023-06-28,200000,I,CLSC,Closed by Customer,0,2026-04-20,Travel Rewards Card,200,0,142387.32,57497.19,31263.86,2026-04-11,1157.63,F,1997-05-25,El Sewedy Electric,Primary,100095,2026-04-27,0.0,34,,,,CLSC,96
2,Giza,2022-02-13,150000,A,WROF,Write Off,180,2026-04-25,Cashback Card,0,500,99261.13,50398.02,30350.79,2026-04-10,637.5,F,1990-10-04,El Sewedy Electric,Secondary,100096,2026-04-12,53588.79,51,,,,WROF,97
9,Ismailia,2019-05-16,75000,I,CNCD,Cancelled,0,2026-05-01,Cashback Card,500,0,56026.6,18758.96,9042.81,2026-04-19,1885.56,F,1974-10-14,Military,Primary,100106,,0.0,84,,,,CNCD,107
6,Assiut,2020-01-14,15000,A,LOST,Lost,0,2026-04-26,Travel Rewards Card,0,150,14140.49,760.15,4301.3,2026-04-09,432.96,M,1960-04-10,National Bank of Egypt,Primary,100109,,0.0,76,,,,LOST,110
7,Luxor,2021-10-28,15000,A,WROF,Write Off,180,2026-04-24,Cashback Card,200,300,264.58,14477.44,3990.79,2026-04-03,706.61,M,1980-05-07,Orange Egypt,Primary,100110,2026-03-07,4251.46,54,,,,WROF,111
4,Mansoura,2020-05-15,15000,I,CLSB,Closed by Bank,0,2026-04-25,World Elite Card,200,300,12535.58,2355.69,394.56,2026-04-11,477.21,M,1973-07-09,Vodafone Egypt,Primary,100113,2026-04-25,0.0,72,,,,CLSB,114
3,Alexandria,2023-12-22,20000,I,CLSC,Closed by Customer,0,2026-04-30,Cashback Card,0,500,18922.54,825.53,971.84,2026-04-23,1632.82,M,1977-01-20,Amazon Egypt,Primary,100114,2026-03-16,0.0,28,,,,CLSC,115
9,Ismailia,2021-09-07,15000,A,FRAD,Fraud,0,2026-04-18,Gold Credit Card,500,1000,9282.96,5653.09,1044.1,2026-04-19,1510.04,F,1976-11-23,Vodafone Egypt,Primary,100126,,0.0,56,,,,FRAD,127
6,Assiut,2023-06-15,20000,A,FRAD,Fraud,0,2026-04-29,Titanium Credit Card,100,150,7749.31,11922.22,2934.73,2026-04-05,1421.55,M,1994-05-14,Juhayna,Secondary,100127,,0.0,35,,,,FRAD,128
9,Ismailia,2023-11-27,5000,A,SUSP,Profit Suspended,120,2026-04-17,Cashback Card,100,1000,2649.53,1971.22,831.47,2026-04-08,982.21,F,1997-06-17,Banque Misr,Primary,100128,,2852.36,29,,,,SUSP,129
1,Cairo Main,2023-08-19,50000,A,SUSP,Profit Suspended,120,2026-05-01,Titanium Credit Card,500,0,38485.71,11402.62,8332.81,2026-04-09,997.26,F,1977-10-13,Elsewedy Capital,Primary,100133,,3847.34,32,,,,SUSP,134
3,Alexandria,2018-06-06,30000,I,CNCD,Cancelled,0,2026-04-24,Business Credit Card,100,500,17705.6,11904.97,6551.23,2026-04-29,1252.76,F,1966-03-04,Military,Primary,100134,,0.0,96,,,,CNCD,135
5,Tanta,2019-09-05,150000,A,SUSP,Profit Suspended,120,2026-04-28,Travel Rewards Card,0,300,39784.17,109973.6,14915.32,2026-04-24,1534.46,M,1969-09-03,Juhayna,Primary,100135,,29050.35,81,,,,SUSP,136
6,Assiut,2024-05-26,75000,A,WROF,Write Off,180,2026-04-21,Platinum Credit Card,0,1000,39824.87,34791.53,10081.31,2026-04-09,503.33,F,1970-10-16,National Bank of Egypt,Secondary,100137,2026-03-02,26467.05,23,,,,WROF,138
6,Assiut,2023-10-13,75000,I,CLSD,Closed,0,2026-04-18,Business Credit Card,200,0,59391.77,15383.14,21128.95,2026-04-14,912.07,M,1973-11-28,Juhayna,Primary,100141,2026-03-18,0.0,31,,,,CLSD,142
5,Tanta,2022-02-16,75000,I,CNCD,Cancelled,0,2026-04-26,Travel Rewards Card,500,500,61369.03,13361.95,18056.11,2026-04-01,1288.69,F,1965-08-01,Orascom,Primary,100142,,0.0,51,,,,CNCD,143
9,Ismailia,2018-12-05,75000,I,CLSC,Closed by Customer,0,2026-04-30,Gold Credit Card,500,1000,3164.66,71348.62,2381.7,2026-04-01,1480.53,M,1971-12-18,Ministry of Health,Primary,100143,2026-04-02,0.0,90,,,,CLSC,144
7,Luxor,2018-08-23,10000,A,SUSP,Profit Suspended,120,2026-04-22,Travel Rewards Card,200,1000,6130.93,3864.5,2307.09,2026-04-11,988.98,M,1972-04-25,Vodafone Egypt,Primary,100145,,2024.77,93,,,,SUSP,146
1,Cairo Main,2018-10-03,20000,I,CNCD,Cancelled,0,2026-04-17,Cashback Card,200,500,18730.5,878.35,1770.27,2026-04-27,734.12,M,1965-08-30,Military,Primary,100146,,0.0,92,,,,CNCD,147
3,Alexandria,2023-10-22,75000,I,CNCD,Cancelled,0,2026-04-23,Gold Credit Card,200,300,35966.2,38829.37,1840.92,2026-04-17,1902.07,F,1982-05-21,El Sewedy Electric,Secondary,100148,,0.0,30,,,,CNCD,149
2,Giza,2021-04-03,75000,I,CLSB,Closed by Bank,0,2026-05-01,Travel Rewards Card,100,150,20385.35,54423.98,15359.19,2026-04-21,1945.01,F,1962-04-09,Cairo University,Primary,100160,2026-03-12,0.0,61,,,,CLSB,161
8,Zagazig,2023-03-28,100000,I,CNCD,Cancelled,0,2026-04-27,World Elite Card,500,0,62326.71,37568.3,4142.17,2026-04-28,411.01,M,1983-02-02,Microsoft Egypt,Primary,100161,,0.0,37,,,,CNCD,162
6,Assiut,2022-02-06,15000,I,CLSB,Closed by Bank,0,2026-04-20,Titanium Credit Card,500,1000,10850.77,3930.36,4438.5,2026-04-23,1632.6,M,1985-01-08,Orange Egypt,Primary,100165,2026-03-27,0.0,51,,,,CLSB,166
8,Zagazig,2019-07-04,150000,A,WROF,Write Off,180,2026-05-01,Business Credit Card,200,150,73589.34,75959.05,29395.11,2026-04-18,1165.62,M,1999-11-21,Edita Food Industries,Primary,100179,2026-04-23,77948.26,83,,,,WROF,180
5,Tanta,2024-06-04,5000,I,CNCD,Cancelled,0,2026-04-18,World Elite Card,200,150,3338.48,1359.99,65.29,2026-04-06,120.89,M,1986-02-16,CIB,Primary,100182,,0.0,23,,,,CNCD,183
9,Ismailia,2021-06-27,10000,I,CLSB,Closed by Bank,0,2026-04-23,World Elite Card,200,1000,5452.21,4054.68,667.66,2026-04-04,937.47,M,1999-10-28,Elsewedy Capital,Secondary,100183,2026-04-03,0.0,58,,,,CLSB,184
9,Ismailia,2019-04-22,20000,A,WROF,Write Off,180,2026-04-23,Business Credit Card,0,1000,13739.91,5770.83,1782.88,2026-04-09,1895.47,F,1979-10-27,Orange Egypt,Primary,100186,2026-03-02,9435.35,85,,,,WROF,187
2,Giza,2022-10-02,50000,I,CLSB,Closed by Bank,0,2026-04-21,Gold Credit Card,0,0,26055.34,23812.36,6212.09,2026-04-22,1852.91,F,1962-01-12,Orange Egypt,Primary,100188,2026-04-12,0.0,43,,,,CLSB,189
9,Ismailia,2020-07-01,5000,I,CLSC,Closed by Customer,0,2026-04-22,Classic Credit Card,200,500,409.83,4227.6,1088.47,2026-04-15,1362.11,F,1965-09-17,Ministry of Health,Primary,100190,2026-03-07,0.0,71,,,,CLSC,191
7,Luxor,2023-12-11,15000,A,SUSP,Profit Suspended,120,2026-04-21,Travel Rewards Card,100,300,6877.38,7821.07,3487.25,2026-04-21,1175.33,M,1984-12-30,Edita Food Industries,Primary,100197,,821.82,29,,,,SUSP,198
4,Mansoura,2020-05-05,50000,I,CLSC,Closed by Customer,0,2026-04-25,World Elite Card,0,150,20744.33,28858.38,2738.41,2026-04-11,636.69,M,1981-07-03,CIB,Primary,100199,2026-04-15,0.0,72,,,,CLSC,200
10,Suez,2020-06-25,15000,A,LOST,Lost,0,2026-04-17,Classic Credit Card,200,1000,385.18,14608.86,1707.1,2026-04-15,1513.18,F,1998-10-05,Juhayna,Primary,100202,,0.0,71,,,,LOST,203
10,Suez,2024-05-10,75000,I,CLSB,Closed by Bank,0,2026-05-01,Cashback Card,500,150,47366.85,27370.41,9269.43,2026-04-08,0.52,M,1970-10-14,Government,Primary,100212,2026-04-28,0.0,24,,,,CLSB,213
3,Alexandria,2021-02-04,75000,I,CLSD,Closed,0,2026-04-22,World Elite Card,500,0,33904.77,41066.89,9763.85,2026-04-30,1877.92,F,1979-07-01,Talaat Moustafa Group,Secondary,100219,2026-04-02,0.0,63,,,,CLSD,220
9,Ismailia,2021-11-27,100000,I,CLSD,Closed,0,2026-04-28,Gold Credit Card,500,500,53501.28,46398.12,17219.83,2026-04-21,851.49,F,1981-08-30,National Bank of Egypt,Primary,100229,2026-03-06,0.0,53,,,,CLSD,230
6,Assiut,2019-03-24,15000,I,CLSD,Closed,0,2026-04-17,Titanium Credit Card,100,1000,9759.08,4797.59,2021.1,2026-04-29,1111.83,M,1989-01-24,Edita Food Industries,Primary,100230,2026-03-19,0.0,86,,,,CLSD,231
9,Ismailia,2019-04-09,200000,A,SUSP,Profit Suspended,120,2026-04-27,Gold Credit Card,200,1000,155980.59,43832.78,10706.05,2026-04-17,1513.7,F,1982-11-30,Ministry of Health,Secondary,100239,,94471.0,85,,,,SUSP,240
9,Ismailia,2022-10-08,10000,I,CLSB,Closed by Bank,0,2026-04-26,Titanium Credit Card,200,0,7121.28,2408.48,661.73,2026-04-07,939.25,F,1969-10-20,Talaat Moustafa Group,Primary,100240,2026-04-18,0.0,43,,,,CLSB,241
