PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Titanium Credit Card,100388,2026-04-07,2026-04-06,818,99.81,0.0,99.81,7011,McDonald's,M936807,POS,99.81,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-10,2026-04-07,818,8298.6,0.0,8298.6,5812,Virgin Megastore,M826595,POS,8298.6,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-19,2026-04-16,818,884.27,0.0,884.27,7011,Seoudi Market,M892778,ATM,884.27,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-07,2026-04-07,818,5365.5,0.0,5365.5,5999,Seoudi Market,M344340,MOTO,5365.5,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-04,2026-04-02,826,220.37,2.8,10557.14,5732,Carrefour Egypt,M873652,ATM,220.37,840,Luxor,SAU,N,
Titanium Credit Card,100388,2026-04-23,2026-04-20,818,7340.67,0.0,7340.67,5732,Talabat,M307358,ECOM,7340.67,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-27,2026-04-24,818,11750.28,0.0,11750.28,5944,Costa Coffee,M365650,ECOM,11750.28,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-05,2026-04-02,818,13837.46,0.0,13837.46,5691,Booking.com,M210059,POS,13837.46,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-08,2026-04-07,818,3088.44,0.0,3088.44,5541,Spinneys,M681026,ATM,3088.44,818,Luxor,EGY,Y,
Titanium Credit Card,100388,2026-04-27,2026-04-25,818,2819.57,0.0,2819.57,5732,ElMenus,M831084,ECOM,2819.57,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-16,2026-04-15,818,7328.7,0.0,7328.7,7011,Expedia,M626318,ECOM,7328.7,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-10,2026-04-07,818,3045.12,0.0,3045.12,5814,Instashop,M806528,POS,3045.12,818,Luxor,EGY,N,
Titanium Credit Card,100388,2026-04-15,2026-04-12,826,940.94,22.94,37629.25,5691,Starbucks Egypt,M803260,ECOM,940.94,840,Luxor,DEU,N,
Titanium Credit Card,100388,2026-04-11,2026-04-10,818,7620.79,0.0,7620.79,7230,Apple Store Online,M737014,POS,7620.79,818,Luxor,EGY,N,
Cashback Card,100440,2026-04-07,2026-04-04,818,1242.8,0.0,1242.8,8021,Talabat,M361320,POS,1242.8,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-21,2026-04-20,840,515.25,7.79,19877.83,5812,H&M Egypt,M254501,POS,515.25,840,Ismailia,SAU,N,
Cashback Card,100440,2026-04-28,2026-04-25,818,6415.29,0.0,6415.29,5912,B.TECH,M900255,POS,6415.29,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-05,2026-04-02,818,13651.66,0.0,13651.66,5814,Noon Egypt,M891681,ECOM,13651.66,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-20,2026-04-20,818,3834.55,0.0,3834.55,4900,H&M Egypt,M946375,ECOM,3834.55,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-23,2026-04-23,818,11313.01,0.0,11313.01,5651,Seoudi Market,M295268,ECOM,11313.01,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-29,2026-04-29,818,7389.18,0.0,7389.18,5411,Uber Egypt,M520528,POS,7389.18,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-14,2026-04-14,826,856.02,19.57,59840.98,5944,Breadfast,M603695,MOTO,856.02,840,Ismailia,TUR,N,
Cashback Card,100440,2026-04-16,2026-04-15,818,5617.47,0.0,5617.47,7011,Booking.com,M546090,MOTO,5617.47,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-17,2026-04-16,818,4476.21,0.0,4476.21,5732,Apple Store Online,M785457,ATM,4476.21,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-20,2026-04-20,818,13292.23,0.0,13292.23,7230,Zara Egypt,M363342,POS,13292.23,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-27,2026-04-26,826,69.13,1.23,4193.58,5812,ElMenus,M933351,ECOM,69.13,840,Ismailia,TUR,N,
Cashback Card,100440,2026-04-04,2026-04-02,818,12746.31,0.0,12746.31,5541,Carrefour Egypt,M731279,ECOM,12746.31,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-09,2026-04-06,818,3554.17,0.0,3554.17,7230,Booking.com,M823826,MOTO,3554.17,818,Ismailia,EGY,N,
Cashback Card,100440,2026-04-15,2026-04-14,818,7763.98,0.0,7763.98,7230,Seoudi Market,M332929,POS,7763.98,818,Ismailia,EGY,N,
Cashback Card,100577,2026-04-04,2026-04-01,818,7050.99,0.0,7050.99,4900,Seoudi Market,M752681,ECOM,7050.99,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-28,2026-04-28,818,11937.01,0.0,11937.01,7298,Shell Egypt,M927880,POS,11937.01,818,Assiut,EGY,Y,
Cashback Card,100577,2026-04-12,2026-04-11,818,11468.46,0.0,11468.46,5411,LG Electronics,M313945,ATM,11468.46,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-27,2026-04-27,818,14499.93,0.0,14499.93,5814,B.TECH,M820154,POS,14499.93,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-20,2026-04-18,818,1462.83,0.0,1462.83,4111,Breadfast,M837247,ATM,1462.83,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-23,2026-04-23,818,11082.12,0.0,11082.12,7298,Samsung Egypt,M612924,POS,11082.12,818,Assiut,EGY,Y,
Cashback Card,100577,2026-04-02,2026-04-01,818,11779.86,0.0,11779.86,5691,Spinneys,M407333,ECOM,11779.86,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-10,2026-04-07,818,9289.04,0.0,9289.04,8099,KFC Egypt,M683697,POS,9289.04,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-23,2026-04-21,826,384.06,4.26,22235.36,4900,McDonald's,M895171,ECOM,384.06,840,Assiut,GBR,N,
Cashback Card,100577,2026-04-11,2026-04-08,840,606.39,17.16,23726.36,5999,Emirates Airlines,M196233,ATM,606.39,840,Assiut,USA,N,
Cashback Card,100577,2026-04-25,2026-04-22,818,11.8,0.0,11.8,5812,ElMenus,M630727,ECOM,11.8,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-27,2026-04-26,978,971.46,28.21,63983.49,5411,Vodafone Cash,M384858,POS,971.46,840,Assiut,GBR,N,
Cashback Card,100577,2026-04-15,2026-04-12,818,11249.01,0.0,11249.01,5945,iStyle,M137927,POS,11249.01,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-09,2026-04-08,818,14341.69,0.0,14341.69,4900,iStyle,M445671,ECOM,14341.69,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-11,2026-04-10,840,1405.48,33.37,75896.84,5311,Total Energies,M593811,POS,1405.48,840,Assiut,DEU,N,
Cashback Card,100577,2026-04-12,2026-04-10,818,6507.9,0.0,6507.9,5944,Seoudi Market,M396242,POS,6507.9,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-03,2026-04-01,818,7727.04,0.0,7727.04,8021,Noon Egypt,M655385,POS,7727.04,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-17,2026-04-17,826,131.95,2.16,5227.25,5912,Starbucks Egypt,M952758,POS,131.95,840,Assiut,USA,N,
Cashback Card,100577,2026-04-18,2026-04-15,818,4022.06,0.0,4022.06,4111,B.TECH,M840884,POS,4022.06,818,Assiut,EGY,N,
Cashback Card,100577,2026-04-18,2026-04-16,818,12336.04,0.0,12336.04,7298,Zara Egypt,M998404,POS,12336.04,818,Assiut,EGY,N,
Business Credit Card,100583,2026-04-18,2026-04-18,818,4057.67,0.0,4057.67,5912,Uber Egypt,M658119,POS,4057.67,818,Giza,EGY,N,
Business Credit Card,100583,2026-04-06,2026-04-05,818,13383.65,0.0,13383.65,8011,Emirates Airlines,M209489,POS,13383.65,818,Giza,EGY,N,
Business Credit Card,100583,2026-04-25,2026-04-22,818,8518.81,0.0,8518.81,5945,Spinneys,M953771,ECOM,8518.81,818,Giza,EGY,N,
Business Credit Card,100583,2026-04-26,2026-04-26,818,13682.62,0.0,13682.62,4900,Total Energies,M472369,POS,13682.62,818,Giza,EGY,N,
Business Credit Card,100583,2026-04-06,2026-04-06,818,8899.59,0.0,8899.59,5814,Carrefour Egypt,M607612,ECOM,8899.59,818,Giza,EGY,N,
