PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Gold Credit Card,100000,2026-02-21,2026-02-18,818,14490.3,0.0,14490.3,4111,Emirates Airlines,M432573,POS,14490.3,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-02,2026-02-01,818,13255.69,0.0,13255.69,5912,Spinneys,M324723,ECOM,13255.69,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-07,2026-02-07,818,9015.39,0.0,9015.39,5812,Seoudi Market,M854782,ECOM,9015.39,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-18,2026-02-16,818,10269.74,0.0,10269.74,5311,KFC Egypt,M820003,ECOM,10269.74,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-12,2026-02-12,818,14913.81,0.0,14913.81,5541,Breadfast,M930488,ATM,14913.81,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-14,2026-02-13,818,7699.35,0.0,7699.35,5411,Talabat,M384729,POS,7699.35,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-12,2026-02-11,818,11726.32,0.0,11726.32,5814,Talabat,M386132,ECOM,11726.32,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-07,2026-02-06,818,9380.69,0.0,9380.69,5651,Emirates Airlines,M413374,POS,9380.69,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-17,2026-02-17,818,5700.23,0.0,5700.23,5411,ElMenus,M411339,POS,5700.23,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-22,2026-02-21,818,6391.07,0.0,6391.07,5944,iStyle,M447706,ECOM,6391.07,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-11,2026-02-09,818,4514.94,0.0,4514.94,5311,Spinneys,M249221,ECOM,4514.94,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-04,2026-02-03,818,8792.78,0.0,8792.78,8099,Apple Store Online,M146438,ECOM,8792.78,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-08,2026-02-07,840,685.76,8.76,22233.32,8011,Starbucks Egypt,M182067,POS,685.76,840,Giza,FRA,N,1
Gold Credit Card,100000,2026-02-18,2026-02-16,818,10729.05,0.0,10729.05,5814,Jumia Egypt,M341098,POS,10729.05,818,Giza,EGY,Y,1
Gold Credit Card,100000,2026-02-28,2026-02-25,818,9221.19,0.0,9221.19,5812,Amazon.eg,M284450,POS,9221.19,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-25,2026-02-24,818,13086.8,0.0,13086.8,8011,iStyle,M400872,POS,13086.8,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-28,2026-02-26,818,14948.14,0.0,14948.14,5311,Spinneys,M914163,POS,14948.14,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-08,2026-02-07,818,8175.94,0.0,8175.94,5691,Samsung Egypt,M370051,POS,8175.94,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-12,2026-02-12,818,8224.24,0.0,8224.24,8021,Jumia Egypt,M180905,ECOM,8224.24,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-20,2026-02-17,818,2087.56,0.0,2087.56,4111,Spinneys,M242806,ECOM,2087.56,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-20,2026-02-18,818,7532.28,0.0,7532.28,8011,Amazon.eg,M871173,ECOM,7532.28,818,Giza,EGY,N,1
Gold Credit Card,100000,2026-02-24,2026-02-24,818,1922.82,0.0,1922.82,5814,Total Energies,M121744,ECOM,1922.82,818,Giza,EGY,N,1
Travel Rewards Card,100001,2026-02-26,2026-02-25,818,4508.94,0.0,4508.94,5814,KFC Egypt,M871886,ATM,4508.94,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-04,2026-02-04,818,1661.54,0.0,1661.54,5945,Samsung Egypt,M651999,ATM,1661.54,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-09,2026-02-07,818,12066.86,0.0,12066.86,5814,Instashop,M860434,ATM,12066.86,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-23,2026-02-21,818,3213.75,0.0,3213.75,5912,Samsung Egypt,M113170,ATM,3213.75,818,Ismailia,EGY,Y,2
Travel Rewards Card,100001,2026-03-01,2026-02-27,818,7148.73,0.0,7148.73,5944,Amazon.eg,M814354,POS,7148.73,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-03,2026-02-02,818,1073.47,0.0,1073.47,5999,Uber Egypt,M420545,POS,1073.47,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-15,2026-02-12,818,13940.92,0.0,13940.92,8011,Apple Store Online,M673939,POS,13940.92,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-18,2026-02-15,978,1251.85,30.31,57554.54,5912,ElMenus,M961582,POS,1251.85,840,Ismailia,USA,N,2
Travel Rewards Card,100001,2026-02-12,2026-02-11,818,2161.76,0.0,2161.76,8099,Costa Coffee,M926495,POS,2161.76,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-09,2026-02-06,840,1921.26,52.72,59616.03,5999,Seoudi Market,M476380,POS,1921.26,840,Ismailia,GBR,N,2
Travel Rewards Card,100001,2026-02-28,2026-02-27,818,5396.81,0.0,5396.81,5812,Talabat,M698996,ECOM,5396.81,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-07,2026-02-04,840,1729.65,47.16,64304.02,5651,Samsung Egypt,M588411,ATM,1729.65,840,Ismailia,GBR,N,2
Travel Rewards Card,100001,2026-02-09,2026-02-06,818,669.27,0.0,669.27,5944,Shell Egypt,M439943,POS,669.27,818,Ismailia,EGY,N,2
Travel Rewards Card,100001,2026-02-26,2026-02-23,818,2750.31,0.0,2750.31,4111,B.TECH,M545348,POS,2750.31,818,Ismailia,EGY,N,2
Cashback Card,100002,2026-02-10,2026-02-08,818,5110.66,0.0,5110.66,5944,Apple Store Online,M308921,POS,5110.66,818,Assiut,EGY,N,3
Cashback Card,100003,2026-02-18,2026-02-17,818,4138.02,0.0,4138.02,5541,Zara Egypt,M548229,ECOM,4138.02,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-23,2026-02-21,818,6241.09,0.0,6241.09,7230,Uber Egypt,M910810,ECOM,6241.09,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-20,2026-02-20,818,10717.12,0.0,10717.12,5732,Carrefour Egypt,M118189,POS,10717.12,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-07,2026-02-06,818,14448.92,0.0,14448.92,5651,Amazon.eg,M569076,ECOM,14448.92,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-04,2026-02-01,818,12177.82,0.0,12177.82,4111,Jumia Egypt,M254423,POS,12177.82,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-14,2026-02-11,818,11561.39,0.0,11561.39,7011,H&M Egypt,M865792,POS,11561.39,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-16,2026-02-14,826,555.51,10.05,28604.94,8021,Shell Egypt,M954226,POS,555.51,840,Ismailia,SAU,N,4
Cashback Card,100003,2026-02-02,2026-02-02,818,8980.86,0.0,8980.86,5912,Talabat,M499731,POS,8980.86,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-13,2026-02-12,818,3099.64,0.0,3099.64,5732,Talabat,M797002,ECOM,3099.64,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-23,2026-02-20,818,13431.62,0.0,13431.62,5541,Costa Coffee,M833287,POS,13431.62,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-04,2026-02-01,818,11587.13,0.0,11587.13,7230,Costa Coffee,M203297,MOTO,11587.13,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-28,2026-02-27,818,7373.15,0.0,7373.15,8021,McDonald's,M387955,POS,7373.15,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-01,2026-02-01,818,9468.89,0.0,9468.89,5541,Noon Egypt,M631159,POS,9468.89,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-08,2026-02-06,818,3394.3,0.0,3394.3,5944,iStyle,M393416,MOTO,3394.3,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-26,2026-02-23,818,12616.14,0.0,12616.14,7298,Zara Egypt,M139861,POS,12616.14,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-20,2026-02-20,818,11851.16,0.0,11851.16,8099,Vodafone Cash,M186947,POS,11851.16,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-03,2026-02-02,818,2483.78,0.0,2483.78,7298,Total Energies,M428781,POS,2483.78,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-22,2026-02-22,818,7586.47,0.0,7586.47,4900,Apple Store Online,M507065,POS,7586.47,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-20,2026-02-20,978,1720.2,37.06,71495.0,5541,Virgin Megastore,M118247,MOTO,1720.2,840,Ismailia,DEU,N,4
Cashback Card,100003,2026-02-16,2026-02-15,818,12135.27,0.0,12135.27,5411,ElMenus,M616999,POS,12135.27,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-02-10,2026-02-10,818,8678.02,0.0,8678.02,5999,Talabat,M760051,ECOM,8678.02,818,Ismailia,EGY,N,4
Cashback Card,100003,2026-03-01,2026-02-26,826,642.93,11.98,31396.14,5814,Zara Egypt,M388211,ECOM,642.93,840,Ismailia,ARE,N,4
Cashback Card,100004,2026-02-10,2026-02-09,978,1782.27,23.28,98170.21,5814,Talabat,M911386,POS,1782.27,840,Giza,DEU,Y,5
Cashback Card,100004,2026-02-26,2026-02-26,818,10622.43,0.0,10622.43,7230,Starbucks Egypt,M525423,ECOM,10622.43,818,Giza,EGY,N,5
Cashback Card,100004,2026-02-15,2026-02-15,818,12935.5,0.0,12935.5,8011,Talabat,M464891,ATM,12935.5,818,Giza,EGY,N,5
Cashback Card,100004,2026-02-06,2026-02-05,818,14828.13,0.0,14828.13,7230,Booking.com,M949469,MOTO,14828.13,818,Giza,EGY,N,5
Cashback Card,100004,2026-02-15,2026-02-15,818,12531.43,0.0,12531.43,4111,2B,M626326,POS,12531.43,818,Giza,EGY,N,5
Cashback Card,100004,2026-02-24,2026-02-24,818,7371.24,0.0,7371.24,5912,B.TECH,M107095,POS,7371.24,818,Giza,EGY,N,5
