PRODUCT_NAME,RIMNO,POST DATE,TRXN DATE,CCY,ORIG AMOUNT,EMBEDDED _FEE,BILLING AMT,MCC,MERCHNAME,MERCH ID,SOURCES,SETTLEMENT AMT,SETTLEMENT CCY,BANKBRANCH,TRXN COUNTRY,REVERSAL FLAG,CUSTOMER_ID
Gold Credit Card,100124,2026-04-29,2026-04-28,818,10681.89,0.0,10681.89,5691,ElMenus,M621587,MOTO,10681.89,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-17,2026-04-17,840,1178.34,14.13,53118.58,8021,Expedia,M162971,POS,1178.34,840,Assiut,ARE,N,
Gold Credit Card,100124,2026-04-14,2026-04-13,818,10043.25,0.0,10043.25,5999,Apple Store Online,M208226,ECOM,10043.25,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-19,2026-04-18,818,2594.6,0.0,2594.6,4900,Seoudi Market,M372199,ECOM,2594.6,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-21,2026-04-21,818,3558.41,0.0,3558.41,5944,2B,M262951,MOTO,3558.41,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-21,2026-04-20,818,13552.84,0.0,13552.84,5732,Vodafone Cash,M990250,POS,13552.84,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-19,2026-04-18,818,14086.2,0.0,14086.2,8099,Jumia Egypt,M537811,POS,14086.2,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-20,2026-04-19,818,418.43,0.0,418.43,5311,Booking.com,M553328,ECOM,418.43,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-05,2026-04-02,978,1303.71,17.62,79111.54,5691,Talabat,M720813,ATM,1303.71,840,Assiut,GBR,Y,
Gold Credit Card,100124,2026-04-19,2026-04-16,818,9782.98,0.0,9782.98,5812,KFC Egypt,M195979,ECOM,9782.98,818,Assiut,EGY,N,
Gold Credit Card,100124,2026-04-20,2026-04-19,818,14652.24,0.0,14652.24,8021,Emirates Airlines,M371100,POS,14652.24,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-04-05,2026-04-04,818,6148.32,0.0,6148.32,5945,Costa Coffee,M105180,POS,6148.32,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-04-30,2026-04-28,818,4819.68,0.0,4819.68,5945,2B,M769563,POS,4819.68,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-04-09,2026-04-09,818,3647.88,0.0,3647.88,5812,Noon Egypt,M501577,ECOM,3647.88,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-04-29,2026-04-28,818,14895.56,0.0,14895.56,5945,Instashop,M519625,ECOM,14895.56,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-04-06,2026-04-03,818,11147.92,0.0,11147.92,7230,Apple Store Online,M632564,POS,11147.92,818,Assiut,EGY,N,
Platinum Credit Card,100222,2026-04-25,2026-04-24,818,6609.17,0.0,6609.17,7230,Instashop,M485742,POS,6609.17,818,Assiut,EGY,N,
World Elite Card,100263,2026-04-03,2026-04-01,818,13947.36,0.0,13947.36,5311,Instashop,M618982,POS,13947.36,818,Giza,EGY,N,
World Elite Card,100263,2026-04-15,2026-04-13,818,7802.18,0.0,7802.18,8011,Carrefour Egypt,M898103,MOTO,7802.18,818,Giza,EGY,N,
World Elite Card,100263,2026-04-16,2026-04-14,818,4103.74,0.0,4103.74,8021,Zara Egypt,M706797,MOTO,4103.74,818,Giza,EGY,N,
Business Credit Card,100442,2026-04-05,2026-04-05,818,14477.49,0.0,14477.49,7230,Jumia Egypt,M935844,ATM,14477.49,818,Assiut,EGY,N,
Business Credit Card,100442,2026-04-13,2026-04-12,818,5746.52,0.0,5746.52,7011,Costa Coffee,M558857,ECOM,5746.52,818,Assiut,EGY,N,
Business Credit Card,100442,2026-04-23,2026-04-20,818,7458.84,0.0,7458.84,5999,Amazon.eg,M819447,POS,7458.84,818,Assiut,EGY,N,
World Elite Card,100571,2026-04-22,2026-04-21,818,14047.08,0.0,14047.08,5999,H&M Egypt,M793319,MOTO,14047.08,818,Tanta,EGY,N,
World Elite Card,100571,2026-04-08,2026-04-06,818,8784.53,0.0,8784.53,5944,Seoudi Market,M198932,ATM,8784.53,818,Tanta,EGY,N,
World Elite Card,100571,2026-04-08,2026-04-08,818,2740.86,0.0,2740.86,4111,Samsung Egypt,M317470,ECOM,2740.86,818,Tanta,EGY,N,
World Elite Card,100571,2026-04-18,2026-04-17,978,627.59,10.0,30915.65,4111,Talabat,M193729,ECOM,627.59,840,Tanta,DEU,N,
World Elite Card,100571,2026-04-16,2026-04-16,818,12042.72,0.0,12042.72,8099,Starbucks Egypt,M829770,POS,12042.72,818,Tanta,EGY,N,
